x y
3630.26000 8.62764e-18
3632.33340 8.37427e-18
3634.40690 8.14861e-18
3636.48030 7.94972e-18
3638.55380 7.77668e-18
3640.62730 7.62855e-18
3642.70070 7.50441e-18
3644.77420 7.40331e-18
3646.84770 7.32432e-18
3648.92110 7.26653e-18
3650.99460 7.22899e-18
3653.06810 7.21077e-18
3655.14150 7.21094e-18
3657.21500 7.22857e-18
3659.28840 7.26273e-18
3661.36190 7.31249e-18
3663.43540 7.37691e-18
3665.50880 7.45506e-18
3667.58230 7.54602e-18
3669.65580 7.64884e-18
3671.72920 7.76261e-18
3673.80270 7.88638e-18
3675.87620 8.01923e-18
3677.94960 8.16022e-18
3680.02310 8.30842e-18
3682.09650 8.46290e-18
3684.17000 8.38590e-18
3686.24350 8.53893e-18
3688.31690 8.65134e-18
3690.39040 8.70355e-18
3692.46390 9.04793e-18
3694.53730 9.49343e-18
3696.61080 1.01197e-17
3698.68420 1.00617e-17
3700.75770 9.91054e-18
3702.83120 1.08994e-17
3704.90460 1.12123e-17
3706.97810 1.15933e-17
3709.05160 1.19558e-17
3711.12500 1.24602e-17
3713.19850 1.19343e-17
3715.27200 1.18620e-17
3717.34540 1.16369e-17
3719.41890 1.15759e-17
3721.49230 1.10712e-17
3723.56580 1.13493e-17
3725.63930 1.14189e-17
3727.71270 1.16423e-17
3729.78620 1.20216e-17
3731.85970 1.17700e-17
3733.93310 1.24570e-17
3736.00660 1.33586e-17
3738.08000 1.32799e-17
3740.15350 1.25685e-17
3742.22700 1.24042e-17
3744.30040 1.26873e-17
3746.37390 1.30655e-17
3748.44740 1.27766e-17
3750.52080 1.30520e-17
3752.59430 1.31949e-17
3754.66780 1.24316e-17
3756.74120 1.21064e-17
3758.81470 1.17746e-17
3760.88810 1.17885e-17
3762.96160 1.14071e-17
3765.03510 1.16627e-17
3767.10850 1.09745e-17
3769.18200 1.11513e-17
3771.25550 1.09508e-17
3773.32890 1.08007e-17
3775.40240 1.11582e-17
3777.47580 1.07401e-17
3779.54930 1.05539e-17
3781.62280 1.06340e-17
3783.69620 1.03032e-17
3785.76970 1.07355e-17
3787.84320 1.12591e-17
3789.91660 1.18187e-17
3791.99010 1.22343e-17
3794.06360 1.23265e-17
3796.13700 1.26314e-17
3798.21050 1.25702e-17
3800.28390 1.24222e-17
3802.35740 1.21858e-17
3804.43090 1.24651e-17
3806.50430 1.31081e-17
3808.57780 1.24726e-17
3810.65130 1.25722e-17
3812.72470 1.21786e-17
3814.79820 1.20613e-17
3816.87160 1.13314e-17
3818.94510 1.16152e-17
3821.01860 1.16002e-17
3823.09200 1.17004e-17
3825.16550 1.16049e-17
3827.23900 1.15814e-17
3829.31240 1.18160e-17
3831.38590 1.21074e-17
3833.45940 1.20663e-17
3835.53280 1.18437e-17
3837.60630 1.19114e-17
3839.67970 1.17284e-17
3841.75320 1.13410e-17
3843.82670 1.13738e-17
3845.90010 1.15882e-17
3847.97360 1.19761e-17
3850.04710 1.22137e-17
3852.12050 1.21023e-17
3854.19400 1.22148e-17
3856.26740 1.23758e-17
3858.34090 1.23953e-17
3860.41440 1.23337e-17
3862.48780 1.24973e-17
3864.56130 1.25746e-17
3866.63480 1.24473e-17
3868.70820 1.29491e-17
3870.78170 1.32356e-17
3872.85520 1.34207e-17
3874.92860 1.39681e-17
3877.00210 1.41866e-17
3879.07550 1.47425e-17
3881.14900 1.49039e-17
3883.22250 1.54183e-17
3885.29590 1.55846e-17
3887.36940 1.61402e-17
3889.44290 1.62267e-17
3891.51630 1.61527e-17
3893.58980 1.58534e-17
3895.66320 1.55380e-17
3897.73670 1.47770e-17
3899.81020 1.48319e-17
3901.88360 1.46155e-17
3903.95710 1.47627e-17
3906.03060 1.49590e-17
3908.10400 1.50500e-17
3910.17750 1.50602e-17
3912.25100 1.52299e-17
3914.32440 1.53344e-17
3916.39790 1.55056e-17
3918.47130 1.56633e-17
3920.54480 1.57415e-17
3922.61830 1.59236e-17
3924.69170 1.62068e-17
3926.76520 1.64319e-17
3928.83870 1.63948e-17
3930.91210 1.60954e-17
3932.98560 1.60379e-17
3935.05910 1.58604e-17
3937.13250 1.57643e-17
3939.20600 1.57574e-17
3941.27940 1.56398e-17
3943.35290 1.57119e-17
3945.42640 1.55120e-17
3947.49980 1.55769e-17
3949.57330 1.55460e-17
3951.64680 1.59362e-17
3953.72020 1.54836e-17
3955.79370 1.56578e-17
3957.86710 1.56582e-17
3959.94060 1.59376e-17
3962.01410 1.58711e-17
3964.08750 1.61866e-17
3966.16100 1.65821e-17
3968.23450 1.66988e-17
3970.30790 1.68649e-17
3972.38140 1.71181e-17
3974.45490 1.69586e-17
3976.52830 1.70211e-17
3978.60180 1.71964e-17
3980.67520 1.72157e-17
3982.74870 1.71058e-17
3984.82220 1.69734e-17
3986.89560 1.68691e-17
3988.96910 1.66914e-17
