#Wavelength_Angstrom Flux_egs
3826.84 1.8147422790527344e-16
3828.13 1.847445869445801e-16
3829.42 1.9146244049072267e-16
3830.71 1.9292970657348633e-16
3832.0 1.7949119567871094e-16
3833.29 1.8669881820678712e-16
3834.58 1.9497299194335938e-16
3835.87 1.800682258605957e-16
3837.16 1.9701076507568362e-16
3838.45 1.9839797973632815e-16
3839.74 2.0386865615844729e-16
3841.03 1.9624908447265627e-16
3842.32 1.8545011520385743e-16
3843.61 1.8983440399169923e-16
3844.9 1.8546865463256837e-16
3846.19 1.8525312423706055e-16
3847.48 1.9154331207275392e-16
3848.77 1.8199535369873047e-16
3850.06 1.7781082153320313e-16
3851.35 1.7770931243896485e-16
3852.64 1.5863101959228517e-16
3853.93 1.6541757583618164e-16
3855.22 1.732883644104004e-16
3856.51 1.7719261169433596e-16
3857.8 1.8142086029052735e-16
3859.09 1.8978519439697266e-16
3860.38 1.9423395156860352e-16
3861.67 1.6327571868896486e-16
3862.96 1.5884446144104004e-16
3864.25 1.765522575378418e-16
3865.54 1.7688941955566407e-16
3866.83 1.5547231674194337e-16
3868.12 1.5403765678405764e-16
3869.41 1.519521427154541e-16
3870.7 1.5822897911071779e-16
3871.99 1.8770530700683594e-16
3873.28 2.3103815078735353e-16
3874.57 2.936415481567383e-16
3875.86 3.535780715942383e-16
3877.15 3.562294387817383e-16
3878.44 2.9721530914306645e-16
3879.73 2.491261100769043e-16
3881.02 2.12921199798584e-16
3882.31 1.5299877166748047e-16
3883.6 1.259805965423584e-16
3884.89 1.2008631706237793e-16
3886.18 1.3090237617492678e-16
3887.47 1.58751277923584e-16
3888.76 1.7707632064819338e-16
3890.05 1.9156999588012696e-16
3891.34 1.9074172973632813e-16
3892.63 1.705557632446289e-16
3893.92 1.7235586166381837e-16
3895.21 1.6396284103393557e-16
3896.5 1.5258800506591798e-16
3897.79 1.4955509185791017e-16
3899.08 1.5722009658813478e-16
3900.37 1.532951068878174e-16
3901.66 1.5565441131591798e-16
3902.95 1.643350410461426e-16
3904.24 1.923654365539551e-16
3905.53 1.9729408264160157e-16
3906.82 1.9757848739624024e-16
3908.11 1.8683195114135742e-16
3909.4 1.9851491928100586e-16
3910.69 2.008863639831543e-16
3911.98 1.9802825927734376e-16
3913.27 2.010260581970215e-16
3914.56 1.9778236389160157e-16
3915.85 2.0133840560913088e-16
3917.14 1.880446243286133e-16
3918.43 1.6762947082519532e-16
3919.72 1.6174362182617188e-16
3921.01 1.7893970489501953e-16
3922.3 2.0320356369018556e-16
3923.59 2.0869962692260745e-16
3924.88 2.0866672515869142e-16
3926.17 2.0565332412719729e-16
3927.46 2.0923862457275392e-16
3928.75 2.2817173004150395e-16
3930.04 2.325657844543457e-16
3931.33 2.417537689208985e-16
3932.62 2.1774381637573244e-16
3933.91 2.4183097839355473e-16
3935.2 2.5183851242065434e-16
3936.49 2.3810575485229493e-16
3937.78 2.1809185028076173e-16
3939.07 1.9890289306640626e-16
3940.36 2.2252597808837893e-16
3941.65 2.311575698852539e-16
3942.94 2.275547027587891e-16
3944.23 2.308253288269043e-16
3945.52 2.329608154296875e-16
3946.81 2.149102020263672e-16
3948.1 2.0886749267578127e-16
3949.39 1.8413909912109376e-16
3950.68 1.9223220825195313e-16
3951.97 2.044414520263672e-16
3953.26 2.1664472579956056e-16
3954.55 2.351310157775879e-16
3955.84 2.4243810653686527e-16
3957.13 2.322612762451172e-16
3958.42 2.3459573745727543e-16
3959.71 2.582982063293457e-16
3961.0 2.743520736694336e-16
3962.29 2.853569793701172e-16
3963.58 2.7359926223754887e-16
3964.87 2.746307754516602e-16
3966.16 2.756624794006348e-16
3967.45 2.766941833496094e-16
3968.74 2.77725887298584e-16
3970.03 2.7875759124755863e-16
3971.32 2.7978929519653324e-16
3972.61 2.6396045684814453e-16
3973.9 2.5657270431518556e-16
3975.19 2.662355422973633e-16
3976.48 2.680765724182129e-16
3977.77 2.497194480895996e-16
3979.06 2.5662368774414066e-16
3980.35 2.4264072418212893e-16
3981.64 2.546581268310547e-16
3982.93 2.3991233825683597e-16
3984.22 2.2926359176635743e-16
3985.51 2.1998935699462893e-16
3986.8 2.0938165664672854e-16
3988.09 2.0820877075195315e-16
3989.38 2.0960172653198243e-16
3990.67 2.089815902709961e-16
3991.96 2.2659330368041995e-16
3993.25 2.4255352020263675e-16
3994.54 2.439075469970703e-16
3995.83 2.810673522949219e-16
3997.12 2.6689752578735355e-16
3998.41 2.85738582611084e-16
3999.7 3.0410633087158204e-16
4000.99 2.9554054260253907e-16
4002.28 2.928556251525879e-16
4003.57 3.0696655273437503e-16
4004.86 3.1406177520751957e-16
4006.15 3.0674562454223635e-16
4007.44 2.980313110351563e-16
4008.73 2.885662460327149e-16
4010.02 3.195594596862793e-16
4011.31 2.965011787414551e-16
4012.6 3.033533096313477e-16
4013.89 3.140291976928711e-16
4015.18 3.254628372192383e-16
4016.47 3.200404739379883e-16
4017.76 3.263114166259766e-16
4019.05 3.3105972290039064e-16
4020.34 3.2973613739013674e-16
4021.63 3.2606327056884767e-16
4022.92 3.5260967254638673e-16
4024.21 3.3090244293212895e-16
4025.5 3.276264953613281e-16
4026.79 3.1451805114746094e-16
4028.08 3.082078552246094e-16
4029.37 3.3301059722900395e-16
4030.66 3.234061431884766e-16
4031.95 3.298301696777344e-16
4033.24 3.247119522094727e-16
4034.53 3.0665817260742187e-16
4035.82 3.102494239807129e-16
4037.11 3.1279182434082035e-16
4038.4 3.281775665283203e-16
4039.69 3.2066184997558597e-16
4040.98 3.0050464630126955e-16
4042.27 3.033696556091309e-16
4043.56 2.926717758178711e-16
4044.85 3.1899374008178713e-16
4046.14 3.0445413589477543e-16
4047.43 2.9114898681640626e-16
4048.72 3.0541343688964845e-16
4050.01 3.2295806884765628e-16
4051.3 3.3617561340332036e-16
4052.59 3.504967880249024e-16
4053.88 3.440841293334961e-16
4055.17 3.317931365966797e-16
4056.46 3.7062252044677737e-16
4057.75 3.685445404052735e-16
4059.04 3.650115966796875e-16
4060.33 3.533236694335938e-16
4061.62 3.6836708068847657e-16
4062.91 3.593859100341797e-16
4064.2 3.646772384643555e-16
4065.49 3.5406848907470706e-16
4066.78 3.6188980102539063e-16
4068.07 3.899331283569336e-16
4069.36 4.0381755828857427e-16
4070.65 3.8695442199707036e-16
4071.94 3.63332633972168e-16
4073.23 3.6512271881103516e-16
4074.52 3.6233921051025395e-16
4075.81 3.758267974853516e-16
4077.1 3.6563972473144533e-16
4078.39 3.710202789306641e-16
4079.68 3.6928298950195317e-16
4080.97 3.2894378662109376e-16
4082.26 3.401133728027344e-16
4083.55 3.4928543090820317e-16
4084.84 3.1618978500366214e-16
4086.13 3.046552085876465e-16
4087.42 3.273883438110352e-16
4088.71 3.257651519775391e-16
4090.0 3.2414192199707033e-16
4091.29 3.2251873016357425e-16
4092.58 3.208955001831055e-16
4093.87 3.192726135253906e-16
4095.16 3.176494026184082e-16
4096.45 3.1602588653564454e-16
4097.74 3.207912826538086e-16
4099.03 3.3238914489746097e-16
4100.32 3.3741909027099614e-16
4101.61 3.2116905212402344e-16
4102.9 3.492441177368164e-16
4104.19 3.7327636718750004e-16
4105.48 3.5092300415039063e-16
4106.77 3.517752838134766e-16
4108.06 3.6245037078857424e-16
4109.35 3.7096965789794927e-16
4110.64 3.4212207794189453e-16
4111.93 3.4356372833251955e-16
4113.22 3.6199565887451174e-16
4114.51 3.586043930053711e-16
4115.8 3.882373428344727e-16
4117.09 3.4336326599121095e-16
4118.38 3.4174915313720707e-16
4119.67 3.2844200134277345e-16
4120.96 3.1715036392211916e-16
4122.25 3.194183921813965e-16
