# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 2021fxp
# CHANNEL = B+R
# EXPNUM = 21_083_037
# MJD-OBS = 59297.474948
# DATE-OBS = 2021-03-24T11:24:00
# EXPTIME = 1800.0s
# AIRMASS = 1.15
# RA = 11:11:09.39
# DEC = 32:26:23.79
# wl fl err
# [A] [erg/s/cm2/A]
3402.860000 5.708514e-18 1.472623e-17
3405.860000 7.072036e-18 1.544426e-17
3408.860000 1.988285e-17 1.418121e-17
3411.860000 3.440499e-17 1.347153e-17
3414.860000 3.124448e-17 1.491058e-17
3417.860000 4.306533e-17 1.543514e-17
3420.860000 1.876742e-17 1.355195e-17
3423.860000 2.684205e-17 1.327325e-17
3426.860000 2.767968e-17 1.532670e-17
3429.860000 7.494532e-18 1.528524e-17
3432.860000 2.192678e-19 1.353218e-17
3435.860000 1.339550e-17 1.373069e-17
3438.860000 2.563311e-17 1.550065e-17
3441.860000 3.762264e-17 1.519040e-17
3444.860000 3.563189e-17 1.297825e-17
3447.860000 1.265467e-17 1.303395e-17
3450.860000 1.062816e-17 1.410094e-17
3453.860000 -4.032880e-18 1.371905e-17
3456.860000 2.700874e-18 1.267414e-17
3459.860000 2.840611e-17 1.365570e-17
3462.860000 2.749149e-17 1.452659e-17
3465.860000 2.456226e-17 1.361094e-17
3468.860000 5.386652e-17 1.279626e-17
3471.860000 2.034053e-17 1.372964e-17
3474.860000 1.602101e-18 1.423815e-17
3477.860000 9.908189e-18 1.298522e-17
3480.860000 2.379562e-17 1.239711e-17
3483.860000 1.504450e-17 1.381640e-17
3486.860000 1.615956e-17 1.426220e-17
3489.860000 4.197956e-17 1.316419e-17
3492.860000 2.151084e-17 1.258637e-17
3495.860000 3.099162e-17 1.393676e-17
3498.860000 1.008809e-17 1.378561e-17
3501.860000 2.175936e-17 1.219361e-17
3504.860000 2.033563e-17 1.222903e-17
3507.860000 1.688945e-17 1.387993e-17
3510.860000 1.656889e-17 1.375432e-17
3513.860000 2.097951e-17 1.203489e-17
3516.860000 1.798829e-17 1.208527e-17
3519.860000 2.734969e-17 1.342575e-17
3522.860000 1.248181e-17 1.291182e-17
3525.860000 -2.273293e-18 1.151829e-17
3528.860000 2.453623e-17 1.217074e-17
3531.860000 1.800181e-18 1.303921e-17
3534.860000 4.590019e-18 1.251060e-17
3537.860000 4.090447e-18 1.169535e-17
3540.860000 8.643281e-18 1.283209e-17
3543.860000 2.294156e-17 1.371193e-17
3546.860000 1.564113e-17 1.271825e-17
3549.860000 1.268709e-17 1.194566e-17
3552.860000 2.110835e-17 1.335865e-17
3555.860000 2.075774e-17 1.369880e-17
3558.860000 1.716390e-17 1.228967e-17
3561.860000 2.081435e-17 1.188009e-17
3564.860000 1.743025e-17 1.336293e-17
3567.860000 2.323531e-17 1.351084e-17
3570.860000 2.440655e-17 1.191120e-17
3573.860000 3.409393e-17 1.165932e-17
3576.860000 4.781795e-17 1.327494e-17
3579.860000 2.761718e-17 1.311549e-17
3582.860000 3.198460e-17 1.130212e-17
3585.860000 1.908450e-17 1.121300e-17
3588.860000 2.339944e-17 1.233425e-17
3591.860000 2.850339e-17 1.206849e-17
3594.860000 2.108483e-17 1.086225e-17
3597.860000 2.346601e-17 1.153792e-17
3600.860000 3.431094e-17 1.281892e-17
3603.860000 2.994086e-17 1.227206e-17
3606.860000 3.856322e-17 1.119422e-17
3609.860000 4.118123e-17 1.179051e-17
3612.860000 2.996544e-17 1.228422e-17
3615.860000 1.543627e-17 1.133386e-17
3618.860000 1.352295e-17 1.059406e-17
3621.860000 2.287397e-17 1.174651e-17
3624.860000 2.403914e-17 1.224105e-17
3627.860000 3.322929e-17 1.134271e-17
3630.860000 4.960099e-17 1.116712e-17
3633.860000 4.041121e-17 1.246715e-17
3636.860000 4.393176e-17 1.251668e-17
3639.860000 2.161807e-17 1.100004e-17
3642.860000 3.784167e-17 1.110287e-17
3645.860000 4.954555e-17 1.279700e-17
3648.860000 4.760443e-17 1.268806e-17
3651.860000 5.036796e-17 1.096075e-17
3654.860000 4.392195e-17 1.104452e-17
3657.860000 3.831775e-17 1.244358e-17
3660.860000 4.970635e-17 1.232634e-17
3663.860000 3.980271e-17 1.095656e-17
3666.860000 4.893087e-17 1.149865e-17
3669.860000 5.189176e-17 1.243344e-17
3672.860000 5.577829e-17 1.190903e-17
3675.860000 9.251213e-17 1.110149e-17
3678.860000 8.374286e-17 1.177875e-17
3681.860000 6.955607e-17 1.245755e-17
3684.860000 5.550573e-17 1.139191e-17
3687.860000 4.898962e-17 1.050460e-17
3690.860000 4.683434e-17 1.146321e-17
3693.860000 4.724572e-17 1.198663e-17
3696.860000 4.818637e-17 1.109411e-17
3699.860000 5.444235e-17 1.073649e-17
3702.860000 5.376723e-17 1.209452e-17
3705.860000 4.706370e-17 1.236902e-17
3708.860000 6.219258e-17 1.098630e-17
3711.860000 5.519734e-17 1.058832e-17
3714.860000 5.396974e-17 1.214832e-17
3717.860000 8.459804e-17 1.256665e-17
3720.860000 1.019254e-16 1.123368e-17
3723.860000 9.879802e-17 1.112518e-17
3726.860000 7.325990e-17 1.198288e-17
3729.860000 7.679989e-17 1.187920e-17
3732.860000 9.227513e-17 1.085716e-17
3735.860000 9.512712e-17 1.118976e-17
3738.860000 8.948558e-17 1.205515e-17
3741.860000 8.310396e-17 1.146924e-17
3744.860000 8.764689e-17 1.055397e-17
3747.860000 9.416919e-17 1.138530e-17
3750.860000 1.004646e-16 1.201499e-17
3753.860000 1.056821e-16 1.131587e-17
3756.860000 9.964085e-17 1.059631e-17
3759.860000 1.050319e-16 1.178801e-17
3762.860000 1.073794e-16 1.231575e-17
3765.860000 9.703523e-17 1.120898e-17
3768.860000 9.752555e-17 1.062669e-17
3771.860000 8.859145e-17 1.175772e-17
3774.860000 1.001533e-16 1.221191e-17
3777.860000 9.352569e-17 1.103749e-17
3780.860000 1.040959e-16 1.101145e-17
3783.860000 9.024628e-17 1.241517e-17
3786.860000 7.436954e-17 1.241133e-17
3789.860000 9.211687e-17 1.094175e-17
3792.860000 9.725507e-17 1.080685e-17
3795.860000 1.082376e-16 1.201065e-17
3798.860000 8.953342e-17 1.162223e-17
3801.860000 8.873862e-17 1.014131e-17
3804.860000 1.037423e-16 1.053242e-17
3807.860000 1.013840e-16 1.169929e-17
3810.860000 1.081960e-16 1.138485e-17
3813.860000 1.102170e-16 1.035522e-17
3816.860000 1.108306e-16 1.091637e-17
3819.860000 1.141440e-16 1.161563e-17
3822.860000 1.170160e-16 1.082522e-17
3825.860000 1.092491e-16 9.815298e-18
3828.860000 1.160763e-16 1.059719e-17
3831.860000 1.256353e-16 1.107566e-17
3834.860000 1.174639e-16 1.010960e-17
3837.860000 1.173496e-16 9.697926e-18
3840.860000 1.116666e-16 1.074036e-17
3843.860000 1.142242e-16 1.111632e-17
3846.860000 1.053239e-16 1.012049e-17
3849.860000 1.007066e-16 9.978573e-18
3852.860000 1.011071e-16 1.142657e-17
3855.860000 9.496936e-17 1.138229e-17
3858.860000 1.044762e-16 1.013877e-17
3861.860000 1.173401e-16 1.017852e-17
3864.860000 1.231110e-16 1.145190e-17
3867.860000 9.938310e-17 1.132772e-17
3870.860000 1.112834e-16 1.008358e-17
3873.860000 1.325760e-16 1.044112e-17
3876.860000 1.247682e-16 1.143734e-17
3879.860000 1.200750e-16 1.102400e-17
