x y
3630.26001 -8.12538e-19
3632.33347 -7.42387e-20
3634.40694 5.91961e-19
3636.48040 1.18911e-18
3638.55386 1.72026e-18
3640.62733 2.18845e-18
3642.70079 2.59675e-18
3644.77425 2.94819e-18
3646.84772 3.24582e-18
3648.92118 3.49270e-18
3650.99464 3.69188e-18
3653.06810 3.84640e-18
3655.14157 3.95932e-18
3657.21503 4.03368e-18
3659.28849 4.07253e-18
3661.36196 4.07893e-18
3663.43542 4.05591e-18
3665.50888 4.00654e-18
3667.58235 3.93386e-18
3669.65581 3.84092e-18
3671.72927 3.73076e-18
3673.80274 3.60645e-18
3675.87620 3.47102e-18
3677.94966 3.32753e-18
3680.02313 3.17903e-18
3682.09659 3.02857e-18
3684.17005 2.77164e-18
3686.24352 2.48690e-18
3688.31698 3.02654e-18
3690.39044 1.47178e-18
3692.46391 -2.94034e-20
3694.53737 2.21190e-18
3696.61083 1.53298e-18
3698.68430 2.21467e-18
3700.75776 1.91820e-18
3702.83122 2.15916e-18
3704.90469 2.19677e-18
3706.97815 2.41860e-18
3709.05161 2.57124e-18
3711.12507 3.43528e-18
3713.19854 2.84197e-18
3715.27200 3.88657e-18
3717.34546 4.09786e-18
3719.41893 4.54523e-18
3721.49239 7.55936e-18
3723.56585 7.45467e-18
3725.63932 7.73312e-18
3727.71278 8.08656e-18
3729.78624 8.06725e-18
3731.85971 8.68394e-18
3733.93317 8.65340e-18
3736.00663 8.54762e-18
3738.08010 8.53594e-18
3740.15356 7.07779e-18
3742.22702 6.07046e-18
3744.30049 6.61872e-18
3746.37395 9.53234e-18
3748.44741 9.46645e-18
3750.52088 1.03150e-17
3752.59434 1.07649e-17
3754.66780 8.70325e-18
3756.74127 6.79196e-18
3758.81473 5.54690e-18
3760.88819 6.38939e-18
3762.96165 5.83587e-18
3765.03512 4.11188e-18
3767.10858 3.18574e-18
3769.18204 1.93629e-18
3771.25551 9.52618e-19
3773.32897 5.87967e-19
3775.40243 2.24167e-18
3777.47590 2.30369e-18
3779.54936 9.38605e-19
3781.62282 -5.99118e-19
3783.69629 -1.98141e-18
3785.76975 -3.90413e-18
3787.84321 -4.80459e-18
3789.91668 -5.76524e-18
3791.99014 -6.42268e-18
3794.06360 -7.64945e-18
3796.13707 -7.84279e-18
3798.21053 -8.00906e-18
3800.28399 -9.03487e-18
3802.35746 -9.45628e-18
3804.43092 -9.93368e-18
3806.50438 -1.05071e-17
3808.57785 -1.03924e-17
3810.65131 -9.64061e-18
3812.72477 -9.36915e-18
3814.79823 -8.65430e-18
3816.87170 -7.68563e-18
3818.94516 -6.99062e-18
3821.01862 -5.90329e-18
3823.09209 -4.27548e-18
3825.16555 -3.17103e-18
3827.23901 -4.73097e-18
3829.31248 -3.18400e-18
3831.38594 -1.88686e-18
3833.45940 -7.80294e-19
3835.53287 9.84956e-19
3837.60633 2.51167e-18
3839.67979 4.53467e-18
3841.75326 6.18363e-18
3843.82672 7.61052e-18
3845.90018 9.96631e-18
3847.97365 1.26378e-17
3850.04711 1.50346e-17
3852.12057 1.38700e-17
3854.19404 1.52116e-17
3856.26750 1.45618e-17
3858.34096 1.43034e-17
3860.41443 1.54214e-17
3862.48789 1.71840e-17
3864.56135 1.87943e-17
3866.63481 2.00438e-17
3868.70828 2.12516e-17
3870.78174 2.28300e-17
3872.85520 2.42957e-17
3874.92867 2.62651e-17
3877.00213 2.76478e-17
3879.07559 2.99550e-17
3881.14906 2.83375e-17
3883.22252 2.75709e-17
3885.29598 2.83172e-17
3887.36945 2.93973e-17
3889.44291 3.03239e-17
3891.51637 3.13873e-17
3893.58984 3.23332e-17
3895.66330 3.35035e-17
3897.73676 3.43744e-17
3899.81023 3.49205e-17
3901.88369 3.59955e-17
3903.95715 3.66619e-17
3906.03062 3.76189e-17
3908.10408 3.84023e-17
3910.17754 3.94517e-17
3912.25101 4.11604e-17
3914.32447 4.35755e-17
3916.39793 4.37973e-17
3918.47139 4.38937e-17
3920.54486 4.44573e-17
3922.61832 4.45252e-17
3924.69178 4.47345e-17
3926.76525 4.50367e-17
3928.83871 4.52240e-17
3930.91217 4.55521e-17
3932.98564 4.56968e-17
3935.05910 4.60039e-17
3937.13256 4.63575e-17
3939.20603 4.67369e-17
3941.27949 4.68213e-17
3943.35295 4.68869e-17
3945.42642 4.68619e-17
3947.49988 4.71686e-17
3949.57334 4.80592e-17
3951.64681 4.87610e-17
3953.72027 4.96574e-17
3955.79373 5.05711e-17
3957.86720 5.14164e-17
3959.94066 5.16443e-17
3962.01412 5.18999e-17
3964.08759 5.25060e-17
3966.16105 5.30221e-17
3968.23451 5.31951e-17
3970.30797 5.35603e-17
3972.38144 5.38895e-17
3974.45490 5.70654e-17
3976.52836 5.80483e-17
3978.60183 5.78535e-17
3980.67529 5.77224e-17
3982.74875 5.79596e-17
3984.82222 5.76753e-17
3986.89568 5.81740e-17
3988.96914 5.82667e-17
3991.04261 5.85338e-17
3993.11607 5.86322e-17
3995.18953 5.86099e-17
3997.26300 5.84957e-17
3999.33646 5.83030e-17
4001.40992 5.83155e-17
4003.48339 5.83207e-17
4005.55685 5.85250e-17
4007.63031 5.84574e-17
4009.70378 5.85511e-17
4011.77724 5.83229e-17
4013.85070 5.82493e-17
4015.92417 5.81090e-17
4017.99763 5.75105e-17
4020.07109 5.47411e-17
4022.14455 5.42662e-17
4024.21802 5.36429e-17
4026.29148 5.32873e-17
4028.36494 5.27597e-17
4030.43841 5.24131e-17
4032.51187 5.18924e-17
4034.58533 5.13381e-17
4036.65880 5.10215e-17
4038.73226 5.08462e-17
4040.80572 5.04456e-17
4042.87919 5.00519e-17
4044.95265 4.95631e-17
4047.02611 4.90582e-17
4049.09958 4.88123e-17
4051.17304 4.87868e-17
4053.24650 4.87101e-17
4055.31997 4.87532e-17
4057.39343 4.86222e-17
4059.46689 4.84799e-17
4061.54036 4.80002e-17
4063.61382 4.77585e-17
4065.68728 4.77515e-17
4067.76075 4.79600e-17
4069.83421 4.81207e-17
4071.90767 4.84545e-17
4073.98113 4.89169e-17
4076.05460 4.94235e-17
4078.12806 5.02563e-17
4080.20152 4.80365e-17
4082.27499 4.70944e-17
4084.34845 4.72243e-17
4086.42191 4.71177e-17
4088.49538 4.70328e-17
4090.56884 4.72274e-17
4092.64230 4.72922e-17
4094.71577 4.73950e-17
4096.78923 4.71198e-17
4098.86269 4.72068e-17
4100.93616 4.72265e-17
4103.00962 4.72809e-17
4105.08308 4.76071e-17
