# MJD-OBS = 58348.423391
# DATE-OBS = 2018-08-18T10:09:41
# EXPTIME = 1820.000000
# AIRMASS = 1.268
# TELESCOPE = UH88
# INSTRUMENT = SNIFS
3.303440e+03 -5.851697e-17 6.907658e-17
3.304440e+03 -5.909556e-17 6.804453e-17
3.305440e+03 -5.967414e-17 6.701248e-17
3.306440e+03 -3.063957e-17 6.673118e-17
3.307440e+03 1.654499e-17 6.691001e-17
3.308440e+03 4.267326e-17 6.683951e-17
3.309440e+03 2.123251e-18 6.597943e-17
3.310440e+03 -3.842676e-17 6.511936e-17
3.311440e+03 -4.229527e-17 6.441274e-17
3.312440e+03 -4.019238e-17 6.373110e-17
3.313440e+03 -3.552542e-17 6.324388e-17
3.314440e+03 -2.808071e-17 6.296727e-17
3.315440e+03 -2.287870e-17 6.265798e-17
3.316440e+03 -3.786098e-17 6.205458e-17
3.317440e+03 -5.284326e-17 6.145118e-17
3.318440e+03 -5.372593e-17 6.117908e-17
3.319440e+03 -4.912542e-17 6.103581e-17
3.320440e+03 -3.492203e-17 6.105286e-17
3.321440e+03 -2.077763e-18 6.138110e-17
3.322440e+03 3.076651e-17 6.170934e-17
3.323440e+03 7.680442e-17 6.228351e-17
3.324440e+03 1.233921e-16 6.286792e-17
3.325440e+03 1.132637e-16 6.256892e-17
3.326440e+03 6.206515e-17 6.163022e-17
3.327440e+03 1.947196e-17 6.081122e-17
3.328440e+03 1.130032e-17 6.047107e-17
3.329440e+03 3.128671e-18 6.013092e-17
3.330440e+03 2.349349e-17 6.068660e-17
3.331440e+03 5.012241e-17 6.143892e-17
3.332440e+03 3.998226e-17 6.141592e-17
3.333440e+03 -1.695487e-17 6.040614e-17
3.334440e+03 -7.240050e-17 5.941692e-17
3.335440e+03 -1.044792e-16 5.874992e-17
3.336440e+03 -1.365580e-16 5.808292e-17
3.337440e+03 -1.364894e-16 5.819608e-17
3.338440e+03 -1.212926e-16 5.867638e-17
3.339440e+03 -1.071108e-16 5.881571e-17
3.340440e+03 -9.529721e-17 5.815944e-17
3.341440e+03 -8.348364e-17 5.750317e-17
3.342440e+03 -7.147978e-17 5.713076e-17
3.343440e+03 -5.945939e-17 5.678303e-17
3.344440e+03 -3.917828e-17 5.654166e-17
3.345440e+03 -1.186028e-17 5.639090e-17
3.346440e+03 1.228568e-17 5.623556e-17
3.347440e+03 1.977849e-17 5.605621e-17
3.348440e+03 2.727129e-17 5.587686e-17
3.349440e+03 3.051434e-17 5.550414e-17
3.350440e+03 3.255874e-17 5.507689e-17
3.351440e+03 1.912919e-17 5.459790e-17
3.352440e+03 -1.751128e-17 5.404129e-17
3.353440e+03 -5.313203e-17 5.348804e-17
3.354440e+03 -3.878585e-17 5.309969e-17
3.355440e+03 -2.443967e-17 5.271134e-17
3.356440e+03 -2.066894e-17 5.247613e-17
3.357440e+03 -2.284691e-17 5.232706e-17
3.358440e+03 -3.111779e-17 5.209595e-17
3.359440e+03 -5.673009e-17 5.163132e-17
3.360440e+03 -8.234239e-17 5.116669e-17
3.361440e+03 -8.396042e-17 5.085031e-17
3.362440e+03 -8.230652e-17 5.055415e-17
3.363440e+03 -7.139299e-17 5.045090e-17
3.364440e+03 -5.121982e-17 5.054058e-17
3.365440e+03 -3.380124e-17 5.061850e-17
3.366440e+03 -3.658287e-17 5.061026e-17
3.367440e+03 -3.936451e-17 5.060202e-17
3.368440e+03 -6.261921e-17 5.041147e-17
3.369440e+03 -9.306717e-17 5.015686e-17
3.370440e+03 -9.558605e-17 5.022228e-17
3.371440e+03 -4.845326e-17 5.085663e-17
3.372440e+03 -1.320468e-18 5.149098e-17
3.373440e+03 -2.637003e-18 5.139119e-17
3.374440e+03 -4.942299e-18 5.127642e-17
3.375440e+03 -1.438047e-18 5.101144e-17
3.376440e+03 5.939237e-18 5.064630e-17
3.377440e+03 8.482929e-18 5.024057e-17
3.378440e+03 -6.110656e-18 4.969086e-17
3.379440e+03 -2.070424e-17 4.914115e-17
3.380440e+03 -2.995231e-17 4.890320e-17
3.381440e+03 -3.818220e-17 4.872463e-17
3.382440e+03 -3.165270e-17 4.860302e-17
3.383440e+03 -7.796984e-18 4.854828e-17
3.384440e+03 1.310702e-17 4.845805e-17
3.385440e+03 6.636153e-20 4.795971e-17
3.386440e+03 -1.297430e-17 4.746137e-17
3.387440e+03 -4.541926e-17 4.707862e-17
3.388440e+03 -8.618034e-17 4.674541e-17
3.389440e+03 -1.071397e-16 4.649089e-17
3.390440e+03 -8.602031e-17 4.640361e-17
3.391440e+03 -6.490094e-17 4.631633e-17
3.392440e+03 -5.180270e-17 4.626359e-17
3.393440e+03 -3.921645e-17 4.621305e-17
3.394440e+03 -2.211410e-17 4.611976e-17
3.395440e+03 -1.463368e-18 4.599288e-17
3.396440e+03 1.264440e-17 4.595947e-17
3.397440e+03 -3.054652e-18 4.635189e-17
3.398440e+03 -1.875370e-17 4.674432e-17
3.399440e+03 -9.059522e-18 4.672079e-17
3.400440e+03 6.982969e-18 4.659329e-17
3.401440e+03 1.418892e-17 4.641338e-17
3.402440e+03 9.192044e-18 4.616112e-17
3.403440e+03 3.331186e-18 4.589841e-17
3.404440e+03 -2.326517e-17 4.538518e-17
3.405440e+03 -4.986153e-17 4.487194e-17
3.406440e+03 -5.877472e-17 4.444528e-17
3.407440e+03 -5.857840e-17 4.406322e-17
3.408440e+03 -5.537083e-17 4.379736e-17
3.409440e+03 -4.442004e-17 4.383032e-17
3.410440e+03 -3.346924e-17 4.386327e-17
3.411440e+03 -2.823410e-17 4.364220e-17
3.412440e+03 -2.363402e-17 4.339290e-17
3.413440e+03 -1.659890e-17 4.310413e-17
3.414440e+03 -7.316039e-18 4.277891e-17
3.415440e+03 -1.040352e-18 4.246923e-17
3.416440e+03 -1.323729e-17 4.225496e-17
3.417440e+03 -2.543423e-17 4.204069e-17
3.418440e+03 -4.483091e-17 4.188869e-17
3.419440e+03 -6.650119e-17 4.175636e-17
3.420440e+03 -7.341012e-17 4.168011e-17
3.421440e+03 -5.623472e-17 4.169536e-17
3.422440e+03 -3.905933e-17 4.171061e-17
3.423440e+03 -2.637923e-17 4.169343e-17
3.424440e+03 -1.369913e-17 4.167624e-17
3.425440e+03 -9.245521e-18 4.147301e-17
3.426440e+03 -9.833950e-18 4.115574e-17
3.427440e+03 -9.858881e-18 4.085440e-17
3.428440e+03 -8.099407e-18 4.060354e-17
3.429440e+03 -6.339932e-18 4.035267e-17
3.430440e+03 -8.062551e-18 4.017360e-17
3.431440e+03 -1.035202e-17 4.000621e-17
3.432440e+03 -4.221731e-18 3.994131e-17
3.433440e+03 1.102997e-17 3.998743e-17
3.434440e+03 2.446244e-17 4.000272e-17
3.435440e+03 2.152183e-17 3.974060e-17
3.436440e+03 1.858122e-17 3.947848e-17
3.437440e+03 1.187031e-17 3.918057e-17
3.438440e+03 3.693164e-18 3.886874e-17
3.439440e+03 -2.057636e-18 3.859811e-17
3.440440e+03 -3.098477e-18 3.840745e-17
3.441440e+03 -4.139318e-18 3.821679e-17
3.442440e+03 -1.927257e-17 3.798602e-17
3.443440e+03 -3.499300e-17 3.775357e-17
3.444440e+03 -3.152383e-17 3.763566e-17
3.445440e+03 -1.415875e-17 3.760067e-17
3.446440e+03 -1.788897e-18 3.753094e-17
3.447440e+03 -9.399983e-18 3.732222e-17
3.448440e+03 -1.701107e-17 3.711349e-17
3.449440e+03 -2.897916e-17 3.720506e-17
3.450440e+03 -4.190368e-17 3.736254e-17
3.451440e+03 -3.832673e-17 3.749011e-17
3.452440e+03 -1.374794e-17 3.757959e-17
3.453440e+03 9.826993e-18 3.765912e-17
3.454440e+03 1.767470e-17 3.758264e-17
3.455440e+03 2.552241e-17 3.750615e-17
3.456440e+03 2.531632e-17 3.725080e-17
3.457440e+03 2.132021e-17 3.691129e-17
3.458440e+03 2.577119e-17 3.667754e-17
3.459440e+03 4.993209e-17 3.669061e-17
3.460440e+03 7.409299e-17 3.670367e-17
3.461440e+03 5.798966e-17 3.650716e-17
3.462440e+03 3.838510e-17 3.629242e-17
3.463440e+03 2.971739e-17 3.609485e-17
3.464440e+03 3.036625e-17 3.591189e-17
3.465440e+03 2.755503e-17 3.573877e-17
3.466440e+03 6.578462e-18 3.561733e-17
