# OBJECT: AT2019zeu
# TELESCOPE: MMT
# INSTRUMENT: BC
# DATE-OBS: 2020-02-19
# MJD: 58898.32140046
# EXPTIME: 2100
# SLIT: 1.0x180
# DISPERSER: 300GPM
# SOURCE: FLEET
# FILTER: CLEAR
# FLUX_STANDARD: BD332642
# EXTINCTION_CORRECTED: NO
# PHOTOMETRY_CALIBRATED: NO
# FLUX_UNITS: erg/cm2/s/A
# QUALITY: 
# COMMENT: 
Wavelength Flux Sigma
3.318616829000000052e+03 4.280468999999999899e-16 4.121291999999999995e-17
3.320540707000000111e+03 4.103681999999999793e-16 3.489375999999999944e-17
3.322464602000000014e+03 4.029580000000000093e-16 3.947569000000000199e-17
3.324388514000000214e+03 2.736504999999999784e-16 4.334886000000000000e-17
3.326312442999999803e+03 3.235763999999999818e-16 4.025678999999999855e-17
3.328236387999999806e+03 2.380272000000000056e-16 4.113043999999999698e-17
3.330160350000000108e+03 4.414116000000000156e-16 4.903219999999999706e-17
3.332084328999999798e+03 2.372676999999999782e-16 3.354132999999999962e-17
3.334008324999999786e+03 3.174979999999999972e-16 3.842079000000000308e-17
3.335932338000000072e+03 1.513527999999999979e-16 3.705625000000000187e-17
3.337856366999999864e+03 2.660785999999999825e-16 3.522798000000000135e-17
3.339780412999999953e+03 2.013730999999999905e-16 3.203896000000000135e-17
3.341704475999999886e+03 4.536658000000000008e-16 4.446654999999999702e-17
3.343628554999999778e+03 3.253250999999999977e-16 4.092037000000000223e-17
3.345552651999999853e+03 3.420070999999999896e-16 4.300179999999999871e-17
3.347476764999999887e+03 4.720239999999999960e-16 4.662512000000000263e-17
3.349400895000000219e+03 3.680682999999999938e-16 3.301081999999999950e-17
3.351325041999999939e+03 2.661126000000000241e-16 3.393101999999999866e-17
3.353249205000000075e+03 2.984984000000000109e-16 3.747417000000000280e-17
3.355173385000000053e+03 1.080128000000000051e-16 2.981981000000000033e-17
3.357097581999999875e+03 4.701618999999999850e-16 4.046737999999999829e-17
3.359021795999999995e+03 4.944874000000000486e-16 4.406658999999999811e-17
