x y
4261.34070 7.03127e-16
4262.61210 7.02375e-16
4263.88360 7.01636e-16
4265.15500 7.00910e-16
4266.42650 7.00197e-16
4267.69790 6.99496e-16
4268.96930 6.98807e-16
4270.24080 6.98131e-16
4271.51220 6.97466e-16
4272.78370 6.96814e-16
4274.05510 6.96173e-16
4275.32660 6.95544e-16
4276.59800 6.94927e-16
4277.86950 6.94321e-16
4279.14090 6.93726e-16
4280.41240 6.93142e-16
4281.68380 6.92569e-16
4282.95520 6.92007e-16
4284.22670 6.91456e-16
4285.49810 6.90915e-16
4286.76960 6.90385e-16
4288.04100 6.89864e-16
4289.31250 6.89354e-16
4290.58390 6.88854e-16
4291.85540 6.88364e-16
4293.12680 6.87883e-16
4294.39830 6.87412e-16
4295.66970 6.86950e-16
4296.94110 6.86497e-16
4298.21260 6.86053e-16
4299.48400 6.85619e-16
4300.75550 6.85193e-16
4302.02690 6.84776e-16
4303.29840 6.84367e-16
4304.56980 6.83967e-16
4305.84130 6.83575e-16
4307.11270 6.83191e-16
4308.38420 6.82816e-16
4309.65560 6.82447e-16
4310.92700 6.82087e-16
4312.19850 6.81734e-16
4313.46990 6.81389e-16
4314.74140 6.81050e-16
4316.01280 6.80719e-16
4317.28430 6.80395e-16
4318.55570 6.80078e-16
4319.82720 6.79767e-16
4321.09860 6.79463e-16
4322.37010 6.79165e-16
4323.64150 6.78874e-16
4324.91290 6.78589e-16
4326.18440 6.78309e-16
4327.45580 6.78036e-16
4328.72730 6.77768e-16
4329.99870 6.77506e-16
4331.27020 6.77249e-16
4332.54160 6.76997e-16
4333.81310 6.76750e-16
4335.08450 6.76509e-16
4336.35600 6.76272e-16
4337.62740 6.76040e-16
4338.89880 6.75813e-16
4340.17030 6.75590e-16
4341.44170 6.75371e-16
4342.71320 6.75156e-16
4343.98460 6.74945e-16
4345.25610 6.74739e-16
4346.52750 6.74536e-16
4347.79900 6.74336e-16
4349.07040 6.74140e-16
4350.34190 6.73947e-16
4351.61330 6.73757e-16
4352.88470 6.73570e-16
4354.15620 6.73386e-16
4355.42760 6.73205e-16
4356.69910 6.73027e-16
4357.97050 6.72850e-16
4359.24200 6.72676e-16
4360.51340 6.72505e-16
4361.78490 6.72335e-16
4363.05630 6.72167e-16
4364.32780 6.72001e-16
4365.59920 6.71836e-16
4366.87060 6.71673e-16
4368.14210 6.71511e-16
4369.41350 6.71350e-16
4370.68500 6.71190e-16
4371.95640 6.71031e-16
4373.22790 6.70873e-16
4374.49930 6.70715e-16
4375.77080 6.70558e-16
4377.04220 6.70401e-16
4378.31370 6.70244e-16
4379.58510 6.70088e-16
4380.85650 6.69931e-16
4382.12800 6.69774e-16
4383.39940 6.69616e-16
4384.67090 6.69458e-16
4385.94230 6.69299e-16
4387.21380 6.69139e-16
4388.48520 6.68979e-16
4389.75670 6.68746e-16
4391.02810 6.68736e-16
4392.29960 6.68064e-16
4393.57100 6.67694e-16
4394.84240 6.67306e-16
4396.11390 6.66831e-16
