#OBJECT = 2020adqy
#MJD-OBS = 59219.530405
#DATE-OBS = 2021-01-05T12:43:47
#EXPTIME = 1820.000000
#AIRMASS = 1.820000
# 
#TELESCOPE = UH88
#INSTRUMENT = SNIFS
#FLUXCAL = ABSOLUTE
#WL FL ERR
#[Ang] [erg/s/cm2/A] [erg/s/cm2/A]
3308.060000 nan 1.843752e-16
3315.060000 nan 1.706548e-16
3322.060000 nan 1.640058e-16
3329.060000 nan 1.586610e-16
3336.060000 nan 1.543091e-16
3343.060000 nan 1.468408e-16
3350.060000 nan 1.395310e-16
3357.060000 nan 1.342343e-16
3364.060000 nan 1.300366e-16
3371.060000 nan 1.298303e-16
3378.060000 nan 1.264651e-16
3385.060000 nan 1.234861e-16
3392.060000 nan 1.211212e-16
3399.060000 nan 1.233872e-16
3406.060000 nan 1.200294e-16
3413.060000 nan 1.171303e-16
3420.060000 nan 1.153393e-16
3427.060000 nan 1.102077e-16
3434.060000 nan 1.043735e-16
3441.060000 nan 9.928724e-17
3448.060000 nan 9.564644e-17
3455.060000 nan 9.232507e-17
3462.060000 nan 8.880534e-17
3469.060000 nan 8.663582e-17
3476.060000 nan 8.449015e-17
3483.060000 nan 8.293537e-17
3490.060000 nan 8.080477e-17
3497.060000 nan 7.885771e-17
3504.060000 6.396566e-16 7.817293e-17
3511.060000 5.292110e-16 7.773186e-17
3518.060000 5.919705e-16 7.730368e-17
3525.060000 6.298489e-16 7.770936e-17
3532.060000 6.345855e-16 7.826581e-17
3539.060000 8.291068e-16 7.862641e-17
3546.060000 7.123029e-16 7.746482e-17
3553.060000 7.864423e-16 7.488195e-17
3560.060000 7.300256e-16 7.219924e-17
3567.060000 7.761674e-16 6.963472e-17
3574.060000 7.857022e-16 6.742028e-17
3581.060000 9.554603e-16 6.615103e-17
3588.060000 7.487922e-16 6.407919e-17
3595.060000 8.374400e-16 6.272578e-17
3602.060000 6.077408e-16 6.154749e-17
3609.060000 7.500534e-16 6.060698e-17
3616.060000 8.230012e-16 6.089090e-17
3623.060000 8.929274e-16 6.100039e-17
3630.060000 1.080244e-15 6.291691e-17
3637.060000 1.088424e-15 6.294018e-17
3644.060000 9.937652e-16 6.247811e-17
3651.060000 9.411780e-16 6.223884e-17
3658.060000 1.045626e-15 6.134474e-17
3665.060000 1.004907e-15 5.950881e-17
3672.060000 9.028154e-16 5.717010e-17
3679.060000 9.323104e-16 5.503825e-17
3686.060000 8.767188e-16 5.337611e-17
3693.060000 9.555920e-16 5.216609e-17
3700.060000 8.944485e-16 5.116649e-17
3707.060000 1.042870e-15 5.039233e-17
3714.060000 1.052207e-15 5.032885e-17
3721.060000 1.043697e-15 4.948331e-17
3728.060000 1.066172e-15 4.939020e-17
3735.060000 1.089107e-15 4.916309e-17
3742.060000 1.029004e-15 4.935576e-17
3749.060000 1.017174e-15 4.916322e-17
3756.060000 1.139579e-15 4.915381e-17
3763.060000 1.071351e-15 4.907882e-17
3770.060000 9.409477e-16 4.961427e-17
3777.060000 7.973505e-16 4.952333e-17
3784.060000 8.237175e-16 4.818523e-17
3791.060000 5.609875e-16 4.605358e-17
3798.060000 5.712592e-16 4.456786e-17
3805.060000 6.130329e-16 4.364517e-17
3812.060000 5.893276e-16 4.250431e-17
3819.060000 5.738714e-16 4.260027e-17
3826.060000 5.122546e-16 4.233114e-17
3833.060000 5.695494e-16 4.230009e-17
3840.060000 6.226813e-16 4.223613e-17
3847.060000 5.572693e-16 4.213570e-17
3854.060000 6.308142e-16 4.186627e-17
3861.060000 6.074027e-16 4.156637e-17
3868.060000 6.250377e-16 4.111509e-17
3875.060000 6.272070e-16 4.062534e-17
3882.060000 5.928623e-16 4.130031e-17
3889.060000 6.429860e-16 4.184900e-17
3896.060000 5.559791e-16 4.147955e-17
3903.060000 5.196734e-16 4.039208e-17
3910.060000 6.496017e-16 3.945915e-17
3917.060000 6.549885e-16 3.881254e-17
3924.060000 6.057242e-16 3.802403e-17
3931.060000 7.557240e-16 3.794544e-17
3938.060000 8.704748e-16 3.797124e-17
3945.060000 9.453346e-16 3.772720e-17
3952.060000 8.564433e-16 3.777746e-17
3959.060000 9.131551e-16 3.826020e-17
3966.060000 1.029248e-15 3.904482e-17
3973.060000 1.299419e-15 3.987400e-17
3980.060000 1.416933e-15 3.992020e-17
3987.060000 1.443958e-15 3.936544e-17
3994.060000 1.435478e-15 3.907681e-17
4001.060000 1.413363e-15 3.849542e-17
4008.060000 1.431131e-15 3.813421e-17
4015.060000 1.362606e-15 3.774049e-17
4022.060000 1.386999e-15 3.684819e-17
4029.060000 1.409397e-15 3.627613e-17
4036.060000 1.432895e-15 3.533024e-17
4043.060000 1.384025e-15 3.454523e-17
4050.060000 1.303165e-15 3.389670e-17
4057.060000 1.215909e-15 3.352826e-17
4064.060000 1.116116e-15 3.382015e-17
4071.060000 1.145767e-15 3.422790e-17
4078.060000 1.128257e-15 3.457556e-17
4085.060000 1.210367e-15 3.494871e-17
4092.060000 1.247555e-15 3.494192e-17
4099.060000 1.264734e-15 3.491469e-17
4106.060000 1.214053e-15 3.474402e-17
4113.060000 1.208375e-15 3.469918e-17
4120.060000 1.196039e-15 3.466703e-17
4127.060000 1.247410e-15 3.465334e-17
4134.060000 1.263486e-15 3.456385e-17
4141.060000 1.340486e-15 3.393150e-17
4148.060000 1.434948e-15 3.295267e-17
4155.060000 1.386099e-15 3.199878e-17
4162.060000 1.377779e-15 3.137826e-17
4169.060000 1.370743e-15 3.084014e-17
4176.060000 1.365093e-15 3.065281e-17
4183.060000 1.360141e-15 3.013837e-17
4190.060000 1.379656e-15 2.991213e-17
4197.060000 1.406501e-15 3.006349e-17
4204.060000 1.363296e-15 2.986885e-17
4211.060000 1.329514e-15 2.993567e-17
4218.060000 1.274571e-15 3.023402e-17
4225.060000 1.318082e-15 3.052881e-17
4232.060000 1.311413e-15 3.090965e-17
4239.060000 1.193732e-15 3.106400e-17
4246.060000 1.274292e-15 3.143638e-17
4253.060000 1.208276e-15 3.143795e-17
4260.060000 1.204018e-15 3.092868e-17
4267.060000 1.238694e-15 3.006572e-17
4274.060000 1.152978e-15 2.920955e-17
4281.060000 1.155843e-15 2.884209e-17
4288.060000 1.143886e-15 2.847642e-17
4295.060000 1.111502e-15 2.801730e-17
4302.060000 1.059471e-15 2.766658e-17
4309.060000 1.082400e-15 2.786517e-17
4316.060000 1.021449e-15 2.773157e-17
4323.060000 1.010679e-15 2.772932e-17
4330.060000 9.337388e-16 2.785760e-17
4337.060000 9.197466e-16 2.815846e-17
4344.060000 9.471458e-16 2.863965e-17
4351.060000 8.846271e-16 2.888278e-17
4358.060000 8.873312e-16 2.913876e-17
4365.060000 8.571687e-16 2.949141e-17
4372.060000 8.056769e-16 2.970379e-17
4379.060000 8.002080e-16 2.923710e-17
4386.060000 7.479491e-16 2.843945e-17
4393.060000 7.065455e-16 2.791528e-17
4400.060000 6.988960e-16 2.731595e-17
4407.060000 7.454173e-16 2.705611e-17
4414.060000 7.049763e-16 2.664110e-17
4421.060000 7.307316e-16 2.664805e-17
4428.060000 8.323986e-16 2.639292e-17
4435.060000 8.074833e-16 2.636402e-17
4442.060000 7.873510e-16 2.628777e-17
4449.060000 8.074321e-16 2.635258e-17
4456.060000 8.559197e-16 2.640502e-17
4463.060000 8.796706e-16 2.662789e-17
4470.060000 8.909225e-16 2.678005e-17
4477.060000 8.629067e-16 2.717460e-17
4484.060000 9.124502e-16 2.757961e-17
4491.060000 8.949757e-16 2.781887e-17
4498.060000 9.074013e-16 2.774992e-17
4505.060000 8.978496e-16 2.720007e-17
4512.060000 8.814073e-16 2.670669e-17
4519.060000 7.763026e-16 2.640735e-17
4526.060000 7.889447e-16 2.598754e-17
4533.060000 8.155398e-16 2.578456e-17
4540.060000 8.218660e-16 2.556774e-17
4547.060000 8.492584e-16 2.532780e-17
4554.060000 8.686648e-16 2.526007e-17
4561.060000 9.328292e-16 2.528778e-17
4568.060000 9.388745e-16 2.554456e-17
4575.060000 9.514195e-16 2.595344e-17
4582.060000 1.007164e-15 2.625331e-17
4589.060000 9.801895e-16 2.648014e-17
4596.060000 1.012168e-15 2.686749e-17
4603.060000 1.032190e-15 2.728307e-17
4610.060000 1.069609e-15 2.773663e-17
4617.060000 1.091217e-15 2.730064e-17
4624.060000 1.031798e-15 2.663849e-17
4631.060000 1.137740e-15 2.609066e-17
