# OBJECT: AT2019zbv
# TELESCOPE: MMT
# INSTRUMENT: Binospec
# DATE-OBS: 2020-01-19
# MJD: 58867.38962
# EXPTIME: 1800
# SLIT: 1.0
# DISPERSER: 270
# SOURCE: FLEET
# FILTER: Clear
# FLUX_STANDARD: G191B2B
# EXTINCTION_CORRECTED: NO
# PHOTOMETRY_CALIBRATED: NO
# FLUX_UNITS: erg/cm2/s/A
# QUALITY: 
# COMMENT: 
Wavelength Flux Sigma
3.825348211999999876e+03 2.031118000000000073e-16 9.760973999999999504e-18
3.826633362000000034e+03 1.871594000000000027e-16 9.367008000000000255e-18
3.827918528000000151e+03 1.895447000000000111e-16 9.325768000000000311e-18
3.829203711000000112e+03 1.846632999999999995e-16 9.213062000000000751e-18
3.830488910000000033e+03 1.801353999999999945e-16 9.276361999999999482e-18
3.831774124999999913e+03 1.763595000000000113e-16 9.111370999999999433e-18
3.833059356000000207e+03 1.962136000000000049e-16 9.617780999999999807e-18
3.834344603000000006e+03 1.876776999999999948e-16 9.333800000000000362e-18
3.835629866000000220e+03 1.740892999999999878e-16 8.969092000000000346e-18
3.836915144999999939e+03 1.810001999999999962e-16 9.258999000000000293e-18
3.838200440999999955e+03 1.909680999999999969e-16 9.513774999999999283e-18
3.839485752000000048e+03 1.952725000000000092e-16 9.499072000000000356e-18
3.840771079999999984e+03 1.932047000000000055e-16 9.443352000000000471e-18
3.842056423999999879e+03 1.890569000000000005e-16 9.230984999999999265e-18
3.843341784000000189e+03 1.897868999999999897e-16 9.326406000000000076e-18
3.844627160000000003e+03 1.845489999999999938e-16 9.053643999999999432e-18
3.845912553000000116e+03 1.835866999999999940e-16 9.015154000000000494e-18
3.847197960999999850e+03 1.831898000000000111e-16 9.047832000000000283e-18
3.848483385999999882e+03 1.702196000000000060e-16 8.741751000000000008e-18
3.849768825999999990e+03 1.433612000000000072e-16 7.991010999999999333e-18
3.851054282999999941e+03 1.270766000000000068e-16 7.253646000000000330e-18
3.852339755999999852e+03 1.422114999999999986e-16 7.752931000000000058e-18
3.853625245000000177e+03 1.594796000000000030e-16 8.368423999999999930e-18
3.854910750000000007e+03 1.776421000000000048e-16 8.963117000000000653e-18
3.856196270999999797e+03 1.771501999999999928e-16 8.934430999999999510e-18
3.857481808999999885e+03 1.861839999999999948e-16 9.049580000000000499e-18
3.858767362000000048e+03 1.510938999999999938e-16 8.112939999999999911e-18
3.860052932000000055e+03 1.330125999999999913e-16 7.331300000000000425e-18
3.861338518000000022e+03 1.383150999999999921e-16 7.704078000000000430e-18
