# OBJECT = 2021c
# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# CHANNEL = B
# EXPNUM = 21_004_060
# MJD-OBS = 59218.526500
# EXPTIME = 1800.0s
# AIRMASS = 1.65
# RA = 10:46:27.96
# DEC = -27:44:22.53
# wl fl err
# [A] [erg/s/cm2/A]
3401.020000 -6.183374e-14 3.571176e-14
3403.400000 -2.429879e-14 3.616449e-14
3405.780000 -2.889404e-14 3.596685e-14
3408.160000 -2.834370e-14 3.564081e-14
3410.540000 -1.797149e-14 3.507321e-14
3412.920000 2.717921e-14 3.525433e-14
3415.300000 -1.975384e-14 3.482154e-14
3417.680000 -2.768745e-15 3.479075e-14
3420.060000 -4.119631e-14 3.447556e-14
3422.440000 -5.827713e-14 3.382404e-14
3424.820000 2.763395e-15 3.467598e-14
3427.200000 -5.116194e-14 3.434870e-14
3429.580000 -3.926277e-14 3.448402e-14
3431.960000 -1.808026e-14 3.428044e-14
3434.340000 -1.619403e-14 3.448419e-14
3436.720000 -4.559564e-15 3.493950e-14
3439.100000 -5.102482e-14 3.432981e-14
3441.480000 -1.862549e-14 3.423979e-14
3443.860000 -2.115086e-14 3.400124e-14
3446.240000 -5.105129e-14 3.331581e-14
3448.620000 7.627438e-15 3.382056e-14
3451.000000 -3.648329e-14 3.383558e-14
3453.380000 -2.620784e-14 3.374659e-14
3455.760000 -1.687799e-14 3.391877e-14
3458.140000 -3.841598e-14 3.339640e-14
3460.520000 2.341600e-14 3.358615e-14
3462.900000 1.257361e-14 3.345063e-14
3465.280000 -8.036093e-15 3.316005e-14
3467.660000 -6.607948e-15 3.314642e-14
3470.040000 -1.318428e-14 3.333828e-14
3472.420000 -4.419914e-14 3.284983e-14
3474.800000 -5.663310e-14 3.257070e-14
3477.180000 -3.136314e-14 3.263058e-14
3479.560000 2.967369e-14 3.305779e-14
3481.940000 2.964347e-15 3.273305e-14
3484.320000 3.918777e-15 3.273580e-14
3486.700000 5.542356e-14 3.327678e-14
3489.080000 6.783825e-14 3.324109e-14
3491.460000 1.654869e-14 3.257920e-14
3493.840000 3.744084e-14 3.261646e-14
3496.220000 -4.796463e-15 3.190642e-14
3498.600000 -3.589924e-14 3.156230e-14
3500.980000 -9.098620e-15 3.159842e-14
3503.360000 -4.214375e-15 3.169541e-14
3505.740000 -4.032839e-15 3.166767e-14
3508.120000 -3.588393e-14 3.168900e-14
3510.500000 -4.813821e-14 3.165746e-14
3512.880000 -2.197626e-14 3.141615e-14
3515.260000 -6.376432e-15 3.090479e-14
3517.640000 -1.878408e-14 3.077863e-14
3520.020000 -2.149231e-14 3.078275e-14
3522.400000 1.362945e-14 3.109242e-14
3524.780000 -1.379048e-14 3.071701e-14
3527.160000 -2.111242e-14 3.047327e-14
3529.540000 -3.358909e-14 3.000622e-14
3531.920000 -2.003534e-14 3.012124e-14
3534.300000 -2.922350e-14 3.031926e-14
3536.680000 -3.072356e-14 3.083817e-14
3539.060000 3.232837e-15 3.099908e-14
3541.440000 -2.256044e-15 3.136880e-14
3543.820000 -1.289000e-14 3.125386e-14
3546.200000 -4.196753e-14 3.100367e-14
3548.580000 -4.044571e-14 3.110314e-14
3550.960000 -4.246767e-14 3.109041e-14
3553.340000 -1.459988e-15 3.144233e-14
3555.720000 -5.130370e-15 3.160462e-14
3558.100000 3.282244e-14 3.146829e-14
3560.480000 5.727410e-14 3.134823e-14
3562.860000 2.406964e-14 3.104448e-14
3565.240000 -6.121697e-15 3.064261e-14
3567.620000 -3.155308e-15 3.052185e-14
3570.000000 -5.080480e-15 3.018126e-14
3572.380000 -1.051008e-14 2.944311e-14
3574.760000 -2.798656e-14 2.912484e-14
3577.140000 6.054042e-16 2.936433e-14
3579.520000 -2.296002e-14 2.897639e-14
3581.900000 -1.643988e-14 2.902936e-14
3584.280000 4.530381e-14 2.893467e-14
3586.660000 2.007638e-15 2.824565e-14
3589.040000 -1.408944e-14 2.782164e-14
3591.420000 -4.349220e-14 2.744201e-14
3593.800000 -8.117409e-14 2.729346e-14
3596.180000 -3.300532e-14 2.839279e-14
3598.560000 3.809864e-14 2.977169e-14
3600.940000 2.519978e-14 2.952614e-14
3603.320000 -4.947063e-15 2.976862e-14
3605.700000 2.233191e-14 2.995842e-14
3608.080000 1.296900e-14 2.942950e-14
3610.460000 -3.771306e-14 2.903384e-14
3612.840000 -9.107745e-15 2.890055e-14
3615.220000 1.564624e-14 2.864099e-14
3617.600000 1.372024e-15 2.850905e-14
3619.980000 -9.945876e-15 2.822721e-14
3622.360000 2.420945e-14 2.810174e-14
3624.740000 2.054650e-14 2.810599e-14
3627.120000 -1.635966e-14 2.785477e-14
3629.500000 -2.757228e-14 2.808469e-14
3631.880000 -5.470501e-15 2.863529e-14
3634.260000 7.283221e-14 2.896342e-14
3636.640000 8.181185e-14 2.857937e-14
3639.020000 2.371603e-14 2.804731e-14
3641.400000 1.480545e-14 2.783924e-14
3643.780000 5.061302e-15 2.803297e-14
3646.160000 -1.557520e-14 2.816780e-14
3648.540000 3.364821e-14 2.833300e-14
3650.920000 6.629606e-14 2.834627e-14
3653.300000 4.477532e-14 2.811889e-14
3655.680000 1.823883e-14 2.766558e-14
3658.060000 1.855798e-15 2.781866e-14
3660.440000 1.531947e-14 2.822744e-14
3662.820000 2.513144e-14 2.859292e-14
3665.200000 3.007912e-14 2.874868e-14
3667.580000 2.252073e-14 2.833766e-14
3669.960000 1.475356e-14 2.810218e-14
3672.340000 1.144844e-14 2.814200e-14
3674.720000 1.123286e-14 2.800810e-14
3677.100000 2.746951e-14 2.805325e-14
3679.480000 1.175314e-14 2.784404e-14
3681.860000 -6.822598e-15 2.753578e-14
3684.240000 1.356778e-14 2.730747e-14
3686.620000 1.774020e-14 2.723182e-14
3689.000000 1.207235e-14 2.691888e-14
3691.380000 -1.229373e-15 2.703116e-14
3693.760000 1.292088e-14 2.734532e-14
3696.140000 -7.793955e-15 2.734225e-14
3698.520000 -3.644527e-14 2.716318e-14
3700.900000 -8.965180e-15 2.734184e-14
3703.280000 1.667548e-14 2.789223e-14
3705.660000 4.137247e-14 2.782704e-14
3708.040000 7.968070e-14 2.801599e-14
3710.420000 4.712283e-14 2.738561e-14
3712.800000 -5.955593e-15 2.678287e-14
3715.180000 -2.754327e-14 2.677464e-14
3717.560000 -4.805588e-15 2.728328e-14
3719.940000 3.183600e-14 2.780679e-14
3722.320000 8.690828e-14 2.794536e-14
3724.700000 7.916051e-14 2.739780e-14
3727.080000 5.408418e-14 2.709864e-14
3729.460000 1.676651e-14 2.721219e-14
3731.840000 8.246754e-15 2.743738e-14
3734.220000 7.265255e-14 2.773973e-14
3736.600000 9.193028e-14 2.759628e-14
3738.980000 7.340925e-14 2.685343e-14
3741.360000 3.354001e-14 2.633804e-14
3743.740000 2.404910e-14 2.642541e-14
3746.120000 3.424406e-14 2.683905e-14
3748.500000 9.038314e-14 2.710876e-14
3750.880000 1.009929e-13 2.675412e-14
3753.260000 5.353378e-14 2.597517e-14
3755.640000 5.953659e-15 2.583363e-14
3758.020000 9.701464e-15 2.647019e-14
3760.400000 1.378016e-14 2.683942e-14
3762.780000 1.883443e-14 2.657068e-14
3765.160000 3.543293e-14 2.636873e-14
3767.540000 3.102902e-14 2.635698e-14
3769.920000 3.862058e-14 2.627471e-14
3772.300000 4.048829e-14 2.631426e-14
3774.680000 3.837648e-14 2.633194e-14
3777.060000 6.289881e-14 2.670050e-14
3779.440000 6.189294e-14 2.697763e-14
3781.820000 6.090183e-14 2.695998e-14
3784.200000 6.805127e-14 2.701774e-14
3786.580000 4.873017e-14 2.692029e-14
3788.960000 4.241669e-14 2.672867e-14
3791.340000 5.260021e-14 2.660853e-14
3793.720000 3.035233e-14 2.594048e-14
3796.100000 2.624483e-14 2.550169e-14
3798.480000 5.139407e-14 2.546546e-14
3800.860000 4.776797e-14 2.488043e-14
3803.240000 9.790358e-16 2.443790e-14
3805.620000 2.063193e-15 2.461543e-14
3808.000000 -1.247931e-14 2.501031e-14
3810.380000 2.350838e-14 2.540927e-14
3812.760000 3.879821e-14 2.554192e-14
3815.140000 3.475752e-14 2.551263e-14
3817.520000 4.876580e-14 2.528311e-14
3819.900000 4.645929e-14 2.468315e-14
3822.280000 2.032953e-14 2.410298e-14
3824.660000 3.934655e-14 2.414713e-14
3827.040000 4.238623e-14 2.396894e-14
3829.420000 2.643944e-14 2.352621e-14
3831.800000 1.537647e-14 2.321733e-14
3834.180000 2.793156e-14 2.328246e-14
3836.560000 2.147366e-14 2.325497e-14
3838.940000 -6.272744e-15 2.293907e-14
3841.320000 5.731266e-15 2.302802e-14
3843.700000 4.483256e-14 2.336650e-14
3846.080000 3.335496e-14 2.364625e-14
3848.460000 2.692175e-14 2.414546e-14
3850.840000 2.609357e-14 2.441934e-14
3853.220000 2.066947e-14 2.449972e-14
3855.600000 2.707138e-14 2.451149e-14
3857.980000 6.530753e-14 2.471641e-14
3860.360000 8.145191e-14 2.480289e-14
3862.740000 6.986943e-14 2.436926e-14
3865.120000 3.636012e-14 2.412629e-14
3867.500000 2.565155e-14 2.414093e-14
3869.880000 2.846047e-14 2.429279e-14
3872.260000 4.773843e-14 2.441687e-14
3874.640000 6.030709e-14 2.421646e-14
3877.020000 4.066656e-14 2.396505e-14
3879.400000 4.303021e-14 2.382202e-14
3881.780000 3.667684e-14 2.374585e-14
3884.160000 2.092767e-15 2.331054e-14
3886.540000 2.399042e-14 2.321936e-14
3888.920000 4.573435e-14 2.351038e-14
3891.300000 5.879705e-14 2.346699e-14
3893.680000 5.279987e-14 2.310587e-14
3896.060000 -9.211763e-15 2.304025e-14
3898.440000 -3.956012e-15 2.313179e-14
3900.820000 2.384624e-14 2.332192e-14
3903.200000 2.829947e-14 2.353570e-14
3905.580000 3.921290e-14 2.334754e-14
3907.960000 2.897067e-14 2.318567e-14
3910.340000 2.777891e-14 2.330052e-14
3912.720000 5.881131e-15 2.324223e-14
3915.100000 -3.489844e-14 2.307647e-14
3917.480000 -2.090515e-14 2.343037e-14
3919.860000 3.021573e-14 2.373440e-14
3922.240000 4.107324e-14 2.361421e-14
3924.620000 4.375574e-14 2.353717e-14
3927.000000 4.155664e-14 2.326181e-14
3929.380000 5.986078e-14 2.321239e-14
3931.760000 5.702963e-14 2.280357e-14
3934.140000 2.016558e-14 2.173582e-14
3936.520000 2.655422e-14 2.111915e-14
3938.900000 1.306931e-14 2.074917e-14
3941.280000 -5.282932e-15 2.093892e-14
3943.660000 1.793888e-14 2.156827e-14
3946.040000 1.197184e-14 2.216863e-14
3948.420000 2.485756e-14 2.264070e-14
3950.800000 3.334152e-14 2.314495e-14
3953.180000 3.192009e-15 2.328635e-14
3955.560000 -3.945938e-14 2.316972e-14
3957.940000 5.075158e-15 2.347551e-14
3960.320000 1.111075e-14 2.391530e-14
3962.700000 1.408000e-14 2.390460e-14
3965.080000 1.725660e-14 2.379340e-14
3967.460000 4.297079e-14 2.383203e-14
3969.840000 7.382649e-14 2.374916e-14
3972.220000 5.922779e-14 2.338969e-14
3974.600000 1.576500e-14 2.261772e-14
3976.980000 8.536842e-15 2.286291e-14
3979.360000 1.963151e-14 2.373638e-14
3981.740000 3.130937e-14 2.439221e-14
3984.120000 3.858151e-14 2.521039e-14
3986.500000 5.747407e-14 2.545067e-14
3988.880000 3.664197e-14 2.525664e-14
3991.260000 6.484980e-14 2.493972e-14
3993.640000 8.215131e-14 2.514167e-14
3996.020000 9.469446e-14 2.517614e-14
3998.400000 4.626927e-14 2.444929e-14
4000.780000 5.067724e-14 2.396599e-14
4003.160000 5.700808e-14 2.399547e-14
4005.540000 5.628250e-14 2.379673e-14
4007.920000 7.138115e-14 2.393258e-14
4010.300000 8.323776e-14 2.392495e-14
4012.680000 8.245611e-14 2.355483e-14
4015.060000 4.430731e-15 2.294405e-14
4017.440000 -8.068728e-16 2.297305e-14
4019.820000 2.152633e-14 2.318964e-14
4022.200000 1.347787e-14 2.319473e-14
4024.580000 3.863066e-14 2.320867e-14
4026.960000 3.924834e-14 2.320745e-14
4029.340000 2.660468e-14 2.302572e-14
4031.720000 4.253476e-14 2.285985e-14
4034.100000 3.977143e-14 2.283475e-14
4036.480000 4.166691e-14 2.259456e-14
4038.860000 6.433010e-15 2.240079e-14
4041.240000 3.408676e-15 2.248267e-14
4043.620000 3.817774e-14 2.289858e-14
4046.000000 8.115398e-14 2.335161e-14
4048.380000 8.031281e-14 2.307806e-14
4050.760000 9.446789e-14 2.291051e-14
4053.140000 7.956842e-14 2.270536e-14
