# OBJECT: AT2019sgh
# TELESCOPE: MMT
# INSTRUMENT: Binospec
# DATE-OBS: 2019-10-27
# MJD: 58783.40016
# EXPTIME: 1200
# SLIT: 1.0
# DISPERSER: 270
# SOURCE: FLEET
# FILTER: Clear
# FLUX_STANDARD: G191B2B
# EXTINCTION_CORRECTED: NO
# PHOTOMETRY_CALIBRATED: NO
# FLUX_UNITS: erg/cm2/s/A
# QUALITY: 
# COMMENT: 
Wavelength Flux Sigma
3.824315132000000176e+03 1.044484000000000058e-16 9.242241000000000032e-18
3.825601794000000154e+03 6.805790999999999719e-17 7.393894999999999744e-18
3.826888471000000209e+03 7.289006000000000117e-17 8.261408000000000530e-18
3.828175162999999884e+03 9.056007999999999676e-17 8.946290000000000180e-18
3.829461869000000206e+03 7.990973999999999832e-17 6.855637000000000370e-18
3.830748590000000149e+03 7.091932000000000082e-17 8.472846000000000745e-18
3.832035326000000168e+03 6.936872000000000231e-17 7.151517999999999728e-18
3.833322076999999808e+03 9.266876999999999721e-17 6.456352000000000110e-18
3.834608842000000095e+03 8.044606000000000010e-17 8.384070000000000717e-18
3.835895622000000003e+03 8.694400999999999409e-17 9.013241000000000711e-18
3.837182416000000103e+03 7.721989999999999384e-17 8.550558000000000259e-18
3.838469224999999824e+03 8.638585000000000476e-17 8.439176999999999418e-18
3.839756049000000075e+03 8.779919000000000220e-17 7.938743999999999301e-18
3.841042887999999948e+03 9.328137999999999475e-17 8.437329000000000258e-18
3.842329741000000013e+03 9.115910000000000053e-17 8.724765000000000120e-18
3.843616609000000153e+03 9.880415000000000284e-17 7.543373000000000329e-18
3.844903491999999915e+03 9.044415999999999931e-17 8.156370999999999507e-18
3.846190390000000207e+03 9.178870999999999420e-17 8.503331999999999829e-18
3.847477301999999781e+03 8.077529999999999882e-17 8.573672000000000643e-18
3.848764228999999887e+03 8.168902000000000600e-17 8.563832000000000393e-18
3.850051170000000184e+03 8.882074999999999478e-17 8.479787000000000314e-18
3.851338126000000102e+03 9.601181000000000064e-17 8.763634000000000464e-18
3.852625097000000096e+03 9.207512999999999857e-17 8.695695000000000012e-18
3.853912083000000166e+03 1.022124999999999944e-16 9.017187000000000243e-18
3.855199082999999973e+03 8.177340999999999789e-17 7.768102999999999594e-18
3.856486097999999856e+03 8.135714000000000188e-17 8.352511999999999579e-18
3.857773127999999815e+03 9.303339999999999678e-17 8.697414000000000519e-18
3.859060171999999966e+03 9.392193000000000326e-17 7.793643000000000462e-18
3.860347231000000193e+03 8.683343999999999484e-17 7.954740000000000245e-18
3.861634305000000040e+03 8.689119000000000056e-17 8.108234000000000084e-18
3.862921393000000080e+03 9.012348999999999838e-17 7.375867000000000105e-18
3.864208496000000196e+03 6.459720000000000322e-17 7.452366999999999659e-18
3.865495613999999932e+03 8.159847000000000150e-17 7.271995000000000416e-18
3.866782745999999861e+03 9.438422999999999501e-17 8.840152999999999988e-18
3.868069892999999865e+03 9.062441000000000110e-17 7.537885000000000162e-18
3.869357054999999946e+03 7.941209999999999670e-17 7.679483999999999958e-18
3.870644232000000102e+03 8.348126999999999583e-17 7.944196000000000095e-18
3.871931422999999995e+03 8.117196000000000022e-17 8.658918999999999400e-18
3.873218628999999964e+03 7.087245999999999428e-17 7.337673999999999464e-18
3.874505850000000009e+03 7.670322000000000592e-17 8.560010999999999926e-18
3.875793084999999792e+03 8.384925999999999444e-17 7.620684999999999444e-18
3.877080335000000105e+03 1.012438000000000005e-16 8.736858000000000569e-18
3.878367600000000039e+03 8.847649000000000090e-17 8.574595999999999452e-18
3.879654879000000165e+03 9.047007000000000597e-17 7.533697000000000135e-18
3.880942172999999912e+03 7.188551000000000292e-17 7.157289999999999916e-18
3.882229482000000189e+03 9.129709000000000575e-17 8.180043000000000193e-18
3.883516805000000204e+03 8.795990999999999498e-17 8.253155000000000517e-18
3.884804142999999840e+03 9.024439999999999722e-17 7.793589000000000631e-18
3.886091496000000006e+03 6.969442999999999562e-17 5.955649000000000071e-18
3.887378863999999794e+03 8.892870999999999556e-17 8.257937999999999731e-18
3.888666245999999774e+03 8.813323999999999774e-17 8.346284999999999651e-18
3.889953642999999829e+03 8.757356999999999677e-17 8.130014999999999491e-18
3.891241054000000076e+03 8.969128999999999847e-17 7.759963999999999395e-18
3.892528479999999945e+03 8.130940000000000586e-17 6.947190999999999290e-18
3.893815920999999889e+03 9.166764999999999772e-17 7.087443999999999833e-18
3.895103376999999909e+03 8.867058999999999897e-17 7.160309000000000562e-18
3.896390847000000122e+03 8.688989999999999862e-17 7.517389000000000514e-18
3.897678331999999955e+03 8.263230000000000365e-17 7.099742000000000351e-18
3.898965831999999864e+03 8.706013000000000484e-17 7.681803000000000292e-18
3.900253345999999965e+03 7.415324000000000279e-17 6.876738999999999998e-18
3.901540875000000142e+03 6.980275000000000554e-17 7.362596000000000047e-18
3.902828418999999940e+03 9.100631999999999570e-17 6.826485000000000234e-18
3.904115976999999930e+03 1.032545999999999991e-16 8.211890999999999964e-18
3.905403550999999879e+03 1.013195999999999982e-16 8.207523999999999500e-18
3.906691138000000137e+03 7.875203000000000203e-17 6.796612000000000023e-18
3.907978740999999900e+03 7.603273000000000141e-17 7.297626999999999510e-18
3.909266357999999855e+03 8.859881000000000473e-17 7.155601999999999683e-18
3.910553989999999885e+03 7.836086999999999648e-17 7.320188999999999745e-18
