#OBJECT = ATLAS20ibe
#MJD-OBS = 58931.402350
#DATE-OBS = 2020-03-23T09:39:23
#EXPTIME = 1820.000000
#AIRMASS = 1.379000
# 
#TELESCOPE = UH88
#INSTRUMENT = SNIFS
#FLUXCAL = RELATIVE
#WL FL ERR
#[Ang] [erg/s/cm2/A] [erg/s/cm2/A]
3308.060000 1.056088e-17 3.096475e-17
3315.060000 -3.252854e-17 2.865012e-17
3322.060000 4.515441e-17 2.790680e-17
3329.060000 3.061939e-17 2.733659e-17
3336.060000 5.499507e-18 2.658224e-17
3343.060000 -1.630315e-17 2.511169e-17
3350.060000 2.091534e-17 2.409607e-17
3357.060000 -4.322772e-17 2.273458e-17
3364.060000 1.882378e-17 2.254447e-17
3371.060000 2.847010e-17 2.271023e-17
3378.060000 2.043470e-17 2.192965e-17
3385.060000 8.747438e-18 2.133036e-17
3392.060000 2.699287e-17 2.120118e-17
3399.060000 -2.244536e-17 2.136828e-17
3406.060000 5.395635e-18 2.087436e-17
3413.060000 -3.025610e-17 2.014002e-17
3420.060000 3.958930e-18 2.027482e-17
3427.060000 -1.280817e-17 1.933549e-17
3434.060000 3.555090e-17 1.867861e-17
3441.060000 -7.684014e-18 1.751663e-17
3448.060000 -2.081928e-18 1.707045e-17
3455.060000 2.369100e-17 1.655853e-17
3462.060000 4.672971e-17 1.611929e-17
3469.060000 2.274243e-17 1.563174e-17
3476.060000 2.633458e-17 1.532965e-17
3483.060000 3.006923e-17 1.522982e-17
3490.060000 2.232546e-17 1.496261e-17
3497.060000 4.285918e-17 1.472419e-17
3504.060000 1.975833e-17 1.442549e-17
3511.060000 5.302181e-17 1.466132e-17
3518.060000 3.121934e-17 1.442473e-17
3525.060000 4.381956e-17 1.453506e-17
3532.060000 4.729728e-17 1.465677e-17
3539.060000 4.407684e-17 1.480495e-17
3546.060000 3.216827e-17 1.456364e-17
3553.060000 2.250089e-17 1.405737e-17
3560.060000 2.098415e-17 1.348059e-17
3567.060000 3.151374e-17 1.310301e-17
3574.060000 5.344701e-17 1.283659e-17
3581.060000 3.499331e-17 1.250358e-17
3588.060000 3.339989e-17 1.210706e-17
3595.060000 5.409496e-17 1.197644e-17
3602.060000 3.807998e-17 1.159400e-17
3609.060000 3.671060e-17 1.145175e-17
3616.060000 3.322763e-17 1.155410e-17
3623.060000 2.930375e-17 1.154898e-17
3630.060000 5.831963e-17 1.211475e-17
3637.060000 5.256353e-17 1.219153e-17
3644.060000 4.163967e-17 1.197214e-17
3651.060000 3.490610e-17 1.196482e-17
3658.060000 4.068391e-17 1.174009e-17
3665.060000 4.201852e-17 1.137519e-17
3672.060000 4.146504e-17 1.098903e-17
3679.060000 5.958612e-17 1.066076e-17
3686.060000 4.740111e-17 1.031260e-17
3693.060000 5.496745e-17 1.021343e-17
3700.060000 2.572449e-17 9.824513e-18
3707.060000 4.593716e-17 9.833102e-18
3714.060000 6.161213e-17 9.855548e-18
3721.060000 6.636637e-17 9.780620e-18
3728.060000 5.098622e-17 9.713715e-18
3735.060000 4.318239e-17 9.684001e-18
3742.060000 5.744424e-17 9.907679e-18
3749.060000 7.057441e-17 9.919070e-18
3756.060000 5.833123e-17 9.826889e-18
3763.060000 6.409794e-17 9.844308e-18
3770.060000 8.385777e-17 1.007724e-17
3777.060000 6.905315e-17 1.003745e-17
3784.060000 7.499948e-17 9.786170e-18
3791.060000 7.416927e-17 9.460671e-18
3798.060000 7.083914e-17 9.081024e-18
3805.060000 5.804235e-17 8.841172e-18
3812.060000 5.395115e-17 8.610705e-18
3819.060000 6.999120e-17 8.761974e-18
3826.060000 7.039417e-17 8.731180e-18
3833.060000 6.797347e-17 8.658898e-18
3840.060000 8.635687e-17 8.775259e-18
3847.060000 4.507156e-17 8.495202e-18
3854.060000 5.856122e-17 8.538642e-18
3861.060000 5.447126e-17 8.403467e-18
3868.060000 4.225174e-17 8.305935e-18
3875.060000 3.326255e-17 8.184103e-18
3882.060000 5.535624e-17 8.484221e-18
3889.060000 4.744437e-17 8.538776e-18
3896.060000 3.008824e-17 8.347106e-18
3903.060000 2.304509e-17 8.094752e-18
3910.060000 3.689721e-17 7.986059e-18
3917.060000 3.171103e-17 7.881489e-18
3924.060000 2.039972e-17 7.605124e-18
3931.060000 3.576293e-17 7.670878e-18
3938.060000 2.662712e-17 7.507769e-18
