#OBJECT = AT2020abgc
#MJD-OBS = 59189.598507
#DATE-OBS = 2020-12-06T14:21:51
#EXPTIME = 2720.000000
#AIRMASS = 1.423000
# 
#TELESCOPE = UH88
#INSTRUMENT = SNIFS
#FLUXCAL = RELATIVE
#WL FL ERR
#[Ang] [erg/s/cm2/A] [erg/s/cm2/A]
5101.130000 1.517202e-16 3.455432e-17
5104.060000 1.883705e-16 3.431940e-17
5106.990000 2.008962e-16 3.390582e-17
5109.920000 1.856386e-16 3.328552e-17
5112.850000 1.522957e-16 3.205606e-17
5115.780000 1.335120e-16 3.131866e-17
5118.710000 1.215102e-16 3.085870e-17
5121.640000 1.442246e-16 3.049541e-17
5124.570000 1.255201e-16 2.950299e-17
5127.500000 1.122631e-16 2.863861e-17
5130.430000 1.267549e-16 2.791556e-17
5133.360000 1.289818e-16 2.719107e-17
5136.290000 1.309527e-16 2.637561e-17
5139.220000 7.834470e-17 2.488611e-17
5142.150000 7.907299e-17 2.429272e-17
5145.080000 1.063904e-16 2.389155e-17
5148.010000 1.414489e-16 2.328355e-17
5150.940000 1.396583e-16 2.236100e-17
5153.870000 1.393283e-16 2.136566e-17
5156.800000 1.493370e-16 2.055994e-17
5159.730000 1.474875e-16 1.995560e-17
5162.660000 1.506424e-16 1.909473e-17
5165.590000 1.432245e-16 1.829533e-17
5168.520000 1.389836e-16 1.738854e-17
5171.450000 1.333171e-16 1.687322e-17
5174.380000 1.188022e-16 1.630352e-17
5177.310000 1.432102e-16 1.626226e-17
5180.240000 1.520670e-16 1.612279e-17
5183.170000 1.434684e-16 1.557984e-17
5186.100000 1.246856e-16 1.517597e-17
5189.030000 1.353378e-16 1.522979e-17
5191.960000 1.261526e-16 1.515665e-17
5194.890000 1.331063e-16 1.527955e-17
5197.820000 1.293562e-16 1.524629e-17
5200.750000 1.261381e-16 1.529019e-17
5203.680000 1.630932e-16 1.547677e-17
5206.610000 1.447476e-16 1.526267e-17
5209.540000 1.223150e-16 1.513775e-17
5212.470000 1.262863e-16 1.516270e-17
5215.400000 1.324048e-16 1.515938e-17
5218.330000 1.519807e-16 1.530472e-17
5221.260000 1.375646e-16 1.512829e-17
5224.190000 1.347217e-16 1.509116e-17
5227.120000 1.281679e-16 1.487301e-17
5230.050000 1.213991e-16 1.495509e-17
5232.980000 1.210879e-16 1.490782e-17
5235.910000 1.173714e-16 1.466207e-17
5238.840000 1.115247e-16 1.468395e-17
5241.770000 1.260861e-16 1.467260e-17
5244.700000 1.078176e-16 1.450536e-17
5247.630000 9.722147e-17 1.431620e-17
5250.560000 9.197037e-17 1.421848e-17
5253.490000 1.218233e-16 1.431273e-17
5256.420000 1.369777e-16 1.437620e-17
5259.350000 1.249642e-16 1.410179e-17
5262.280000 1.135632e-16 1.376253e-17
5265.210000 1.206529e-16 1.354555e-17
5268.140000 1.254305e-16 1.339422e-17
5271.070000 1.240605e-16 1.315427e-17
5274.000000 1.126227e-16 1.294304e-17
5276.930000 1.068269e-16 1.283507e-17
5279.860000 1.044014e-16 1.283046e-17
5282.790000 1.092074e-16 1.278099e-17
5285.720000 1.164917e-16 1.277799e-17
5288.650000 1.244312e-16 1.267439e-17
5291.580000 1.225516e-16 1.259643e-17
5294.510000 1.152873e-16 1.254785e-17
5297.440000 1.206348e-16 1.239269e-17
5300.370000 1.138147e-16 1.225578e-17
5303.300000 1.168599e-16 1.218015e-17
5306.230000 1.276513e-16 1.217950e-17
5309.160000 1.216403e-16 1.197314e-17
5312.090000 1.106113e-16 1.184017e-17
5315.020000 1.068901e-16 1.179021e-17
5317.950000 1.081069e-16 1.163216e-17
5320.880000 1.214022e-16 1.156915e-17
5323.810000 1.193147e-16 1.144534e-17
5326.740000 1.100483e-16 1.121845e-17
5329.670000 1.084113e-16 1.107638e-17
5332.600000 1.196143e-16 1.124591e-17
5335.530000 1.333438e-16 1.130013e-17
5338.460000 1.381088e-16 1.135725e-17
5341.390000 1.326566e-16 1.129330e-17
5344.320000 1.244979e-16 1.111188e-17
5347.250000 1.210882e-16 1.102152e-17
5350.180000 1.193601e-16 1.091651e-17
5353.110000 1.271005e-16 1.088228e-17
5356.040000 1.217006e-16 1.088391e-17
5358.970000 1.180526e-16 1.080591e-17
5361.900000 1.155330e-16 1.072230e-17
5364.830000 1.128115e-16 1.060300e-17
5367.760000 1.075293e-16 1.041138e-17
5370.690000 1.191473e-16 1.049674e-17
5373.620000 1.216170e-16 1.044764e-17
5376.550000 1.213739e-16 1.043499e-17
5379.480000 1.115951e-16 1.038784e-17
5382.410000 1.250834e-16 1.041341e-17
5385.340000 1.372564e-16 1.041063e-17
5388.270000 1.331888e-16 1.030048e-17
5391.200000 1.236071e-16 1.012449e-17
5394.130000 1.223116e-16 1.008819e-17
5397.060000 1.153768e-16 1.001493e-17
5399.990000 1.229329e-16 1.000475e-17
5402.920000 1.252972e-16 9.980444e-18
5405.850000 1.234715e-16 9.902288e-18
5408.780000 1.072997e-16 9.767654e-18
5411.710000 1.028898e-16 9.709204e-18
5414.640000 1.148657e-16 9.789880e-18
5417.570000 1.229807e-16 9.844679e-18
5420.500000 1.172205e-16 9.779913e-18
5423.430000 1.116744e-16 9.697039e-18
5426.360000 1.231133e-16 9.684786e-18
5429.290000 1.271876e-16 9.692150e-18
5432.220000 1.410443e-16 9.844541e-18
5435.150000 1.419032e-16 9.959803e-18
5438.080000 1.285832e-16 9.866478e-18
5441.010000 1.323219e-16 9.855499e-18
5443.940000 1.290562e-16 9.773716e-18
5446.870000 1.387892e-16 9.853409e-18
5449.800000 1.403594e-16 9.821158e-18
5452.730000 1.478791e-16 9.792297e-18
5455.660000 1.577239e-16 9.781488e-18
5458.590000 1.488784e-16 9.715746e-18
5461.520000 1.470635e-16 9.714622e-18
5464.450000 1.553583e-16 9.661000e-18
5467.380000 1.547380e-16 9.543396e-18
5470.310000 1.531507e-16 9.525800e-18
5473.240000 1.450522e-16 9.409682e-18
5476.170000 1.286773e-16 9.262839e-18
5479.100000 1.383602e-16 9.297653e-18
5482.030000 1.485384e-16 9.306576e-18
5484.960000 1.384405e-16 9.294067e-18
5487.890000 1.474061e-16 9.302262e-18
5490.820000 1.483564e-16 9.265238e-18
5493.750000 1.412116e-16 9.301940e-18
5496.680000 1.379876e-16 9.209911e-18
5499.610000 1.382828e-16 9.139205e-18
5502.540000 1.489330e-16 9.151794e-18
