# MJD-OBS = 58321.270984
# DATE-OBS = 2018-07-22T06:30:13
# EXPTIME = 620.000000
# AIRMASS = 1.687
# TELESCOPE = UH88
# INSTRUMENT = SNIFS
5.254060e+03 1.610760e-16 4.189699e-17
5.256060e+03 1.188067e-16 4.067901e-17
5.258060e+03 9.941633e-17 4.013818e-17
5.260060e+03 7.330459e-17 3.959315e-17
5.262060e+03 2.585602e-17 3.877042e-17
5.264060e+03 6.753455e-17 3.886667e-17
5.266060e+03 7.821952e-17 3.856708e-17
5.268060e+03 3.206840e-17 3.757827e-17
5.270060e+03 1.169345e-17 3.722625e-17
5.272060e+03 -9.979710e-18 3.656097e-17
5.274060e+03 -3.304035e-17 3.557795e-17
5.276060e+03 -2.271163e-17 3.553035e-17
5.278060e+03 1.316556e-17 3.588328e-17
5.280060e+03 6.215639e-17 3.643456e-17
5.282060e+03 5.213955e-17 3.599551e-17
5.284060e+03 6.193563e-17 3.576750e-17
5.286060e+03 7.891068e-17 3.561332e-17
5.288060e+03 7.533321e-17 3.522735e-17
5.290060e+03 6.627714e-17 3.483035e-17
5.292060e+03 6.154587e-17 3.456696e-17
5.294060e+03 7.776929e-17 3.474124e-17
5.296060e+03 6.723007e-17 3.443185e-17
5.298060e+03 5.400177e-17 3.402164e-17
5.300060e+03 5.208215e-17 3.369959e-17
5.302060e+03 7.187880e-17 3.378660e-17
5.304060e+03 7.486939e-17 3.358743e-17
5.306060e+03 4.394022e-17 3.279893e-17
5.308060e+03 4.178848e-17 3.253876e-17
5.310060e+03 5.849045e-17 3.254926e-17
5.312060e+03 9.496847e-17 3.283060e-17
5.314060e+03 5.567334e-17 3.190297e-17
5.316060e+03 6.343778e-17 3.172628e-17
5.318060e+03 1.111610e-16 3.219612e-17
5.320060e+03 8.077666e-17 3.157267e-17
5.322060e+03 6.674745e-17 3.120634e-17
5.324060e+03 6.381293e-17 3.100847e-17
5.326060e+03 5.898325e-17 3.073908e-17
5.328060e+03 5.844986e-17 3.054789e-17
5.330060e+03 5.269651e-17 3.027219e-17
5.332060e+03 1.625740e-17 2.948120e-17
5.334060e+03 2.109757e-18 2.915299e-17
5.336060e+03 7.048660e-18 2.916671e-17
5.338060e+03 4.205810e-17 2.965408e-17
5.340060e+03 8.283977e-17 3.009896e-17
5.342060e+03 1.113579e-16 3.034197e-17
5.344060e+03 1.126675e-16 3.020532e-17
5.346060e+03 8.624298e-17 2.961291e-17
5.348060e+03 6.538219e-17 2.915890e-17
5.350060e+03 5.878361e-17 2.900827e-17
5.352060e+03 6.581653e-17 2.912371e-17
5.354060e+03 7.150298e-17 2.916117e-17
5.356060e+03 7.485768e-17 2.909564e-17
5.358060e+03 8.990786e-17 2.922740e-17
5.360060e+03 1.055680e-16 2.928451e-17
5.362060e+03 1.183230e-16 2.922932e-17
5.364060e+03 9.181309e-17 2.859947e-17
5.366060e+03 7.027276e-17 2.807858e-17
5.368060e+03 5.362173e-17 2.765035e-17
5.370060e+03 4.704754e-17 2.736068e-17
5.372060e+03 6.255564e-17 2.736457e-17
5.374060e+03 7.730238e-17 2.738451e-17
5.376060e+03 5.334704e-17 2.698275e-17
5.378060e+03 5.284333e-17 2.695491e-17
5.380060e+03 5.887252e-17 2.701612e-17
5.382060e+03 6.226435e-17 2.699831e-17
5.384060e+03 5.725212e-17 2.692944e-17
5.386060e+03 5.188739e-17 2.683558e-17
5.388060e+03 4.906520e-17 2.671654e-17
5.390060e+03 6.923228e-17 2.680052e-17
5.392060e+03 8.183640e-17 2.667112e-17
5.394060e+03 8.084006e-17 2.622729e-17
5.396060e+03 8.071468e-17 2.621186e-17
5.398060e+03 6.885411e-17 2.606055e-17
5.400060e+03 4.563214e-17 2.575841e-17
5.402060e+03 3.358668e-17 2.547173e-17
