# DICHROIC = D55
# HA = +00:42:04.9
# ANGLE = 27 deg  17 min
# OBSERVER = jan van roestel
# OBSLST = 04:21:01.5
# OBJECT = ZTFJ19acblzux
# CASSPA = 15.00
# PARALLAC = 13.84
# HOURANG = W00:42:04.9
# CCDTEMP = 161.64
# LAMPS = 0000000
# RA = 03:37:57.91
# GRATING = 600/4000
# APERTURE = 1.0
# TELFOCUS = 43.57 mm
# AIRMASS = 1.296
# DEC = -04:59:31.6
# UTSHUT = 2019-10-01T11:28:50.525
# EXPTIME = 2400
lambda_AA flux
3400.000 3.7289e-17
3401.525 3.1604e-17
3403.050 1.8832e-17
3404.575 1.2259e-17
3406.100 2.1963e-17
3407.625 2.1189e-17
3409.150 3.6713e-17
3410.675 2.7549e-17
3412.200 2.9693e-17
3413.725 2.6673e-17
3415.250 2.0985e-17
3416.775 2.5717e-17
3418.300 3.9698e-17
3419.825 2.1012e-17
3421.350 3.4377e-17
3422.875 3.0427e-17
3424.400 3.812e-17
3425.925 1.4085e-17
3427.450 2.2511e-17
3428.975 3.0597e-17
3430.500 1.5668e-17
3432.025 1.9476e-17
3433.550 1.3744e-17
3435.075 1.6146e-17
3436.600 2.3842e-17
3438.125 2.1349e-17
3439.650 6.7798e-18
3441.175 2.078e-17
3442.700 1.8319e-17
3444.225 1.2974e-17
3445.750 2.8719e-17
3447.275 2.9157e-17
3448.800 1.1282e-17
3450.325 1.0897e-17
3451.850 1.9692e-17
3453.375 1.6626e-17
3454.900 1.5206e-17
3456.425 2.2418e-17
3457.950 3.0265e-17
3459.475 3.464e-17
3461.000 3.7891e-17
3462.525 2.0441e-17
3464.050 1.3633e-17
3465.575 2.995e-17
3467.100 4.1763e-17
3468.625 3.036e-17
3470.150 3.3808e-17
3471.675 2.5441e-17
3473.200 2.5425e-17
3474.725 1.6218e-17
3476.250 1.6809e-17
3477.775 2.2217e-17
3479.300 1.7884e-17
3480.825 2.3205e-17
3482.350 4.1358e-17
3483.875 1.5907e-17
3485.400 3.0001e-17
3486.925 2.1626e-17
3488.450 2.2723e-17
3489.975 9.4706e-18
3491.500 2.777e-17
3493.025 2.3154e-17
3494.550 3.9366e-17
3496.075 2.0237e-17
3497.600 1.9436e-17
3499.125 3.6588e-17
3500.650 2.2574e-17
3502.175 1.8157e-17
3503.700 9.8426e-18
3505.225 8.3022e-18
3506.750 3.0464e-17
3508.275 3.5299e-17
3509.800 2.9166e-17
3511.325 2.9121e-17
3512.850 3.0128e-17
3514.375 2.2494e-17
3515.900 2.9877e-17
3517.425 2.2598e-17
3518.950 3.0504e-17
3520.475 2.515e-17
3522.000 2.6682e-17
3523.525 3.0722e-17
3525.050 2.3823e-17
3526.575 3.3216e-17
3528.100 2.856e-17
3529.625 3.13e-17
3531.150 3.3788e-17
3532.675 2.0952e-17
3534.200 2.1382e-17
3535.725 1.2063e-17
3537.250 1.8926e-17
3538.775 3.1503e-17
3540.300 2.9985e-17
3541.825 3.5513e-17
3543.350 3.8256e-17
3544.875 2.1727e-17
3546.400 2.5949e-17
3547.925 3.0972e-17
3549.450 3.0609e-17
3550.975 2.1202e-17
3552.500 2.8588e-17
3554.025 2.736e-17
3555.550 3.5104e-17
3557.075 3.5157e-17
3558.600 2.7281e-17
3560.125 2.55e-17
3561.650 3.0763e-17
3563.175 2.9499e-17
3564.700 1.6402e-17
3566.225 1.5049e-17
3567.750 1.3565e-17
3569.275 1.4719e-17
3570.800 1.9609e-17
3572.325 2.6216e-17
3573.850 3.2157e-17
3575.375 2.8589e-17
3576.900 3.3007e-17
3578.425 3.0781e-17
3579.950 3.068e-17
3581.475 3.3181e-17
3583.000 2.9212e-17
3584.525 2.8016e-17
3586.050 3.1313e-17
3587.575 2.6681e-17
3589.100 1.4825e-17
3590.625 2.7606e-17
3592.150 2.9934e-17
3593.675 1.8896e-17
3595.200 1.9913e-17
3596.725 2.0895e-17
3598.250 1.8498e-17
3599.775 1.9844e-17
3601.300 3.0922e-17
3602.825 3.4814e-17
3604.350 2.0024e-17
3605.875 3.2213e-17
3607.400 3.2999e-17
3608.925 3.2576e-17
3610.450 2.6906e-17
3611.975 2.7961e-17
3613.500 3.2194e-17
3615.025 2.4024e-17
3616.550 2.3675e-17
3618.075 2.0934e-17
3619.600 2.8327e-17
