#OBJECT = ATLAS20idr
#MJD-OBS = 58931.304560
#DATE-OBS = 2020-03-23T07:18:34
#EXPTIME = 1820.000000
#AIRMASS = 1.084000
# 
#TELESCOPE = UH88
#INSTRUMENT = SNIFS
#FLUXCAL = RELATIVE
#WL FL ERR
#[Ang] [erg/s/cm2/A] [erg/s/cm2/A]
3308.060000 3.730903e-17 2.647989e-17
3315.060000 8.433545e-17 2.511241e-17
3322.060000 5.653185e-17 2.400143e-17
3329.060000 4.546111e-17 2.339170e-17
3336.060000 6.857744e-17 2.301611e-17
3343.060000 4.728213e-18 2.155295e-17
3350.060000 5.161721e-17 2.079618e-17
3357.060000 2.803975e-17 1.997124e-17
3364.060000 5.031621e-18 1.917270e-17
3371.060000 4.413337e-17 1.957462e-17
3378.060000 3.037401e-17 1.898609e-17
3385.060000 2.498119e-17 1.853005e-17
3392.060000 9.928999e-18 1.798871e-17
3399.060000 1.352747e-17 1.829747e-17
3406.060000 2.630213e-17 1.798054e-17
3413.060000 2.270961e-17 1.761232e-17
3420.060000 3.430230e-17 1.754162e-17
3427.060000 3.648700e-17 1.692480e-17
3434.060000 2.547648e-17 1.600927e-17
3441.060000 1.379170e-17 1.518220e-17
3448.060000 7.958782e-18 1.469118e-17
3455.060000 2.812634e-17 1.441016e-17
3462.060000 3.196894e-17 1.394328e-17
3469.060000 3.167347e-17 1.367058e-17
3476.060000 4.615187e-17 1.351329e-17
3483.060000 4.777987e-17 1.338874e-17
3490.060000 3.552003e-17 1.313667e-17
3497.060000 2.797451e-17 1.270240e-17
3504.060000 3.433232e-17 1.284324e-17
3511.060000 4.058011e-17 1.288089e-17
3518.060000 1.841517e-17 1.264746e-17
3525.060000 4.008474e-17 1.278488e-17
3532.060000 4.674554e-17 1.279454e-17
3539.060000 5.933981e-17 1.309219e-17
3546.060000 4.214620e-17 1.292281e-17
3553.060000 3.582266e-17 1.242656e-17
3560.060000 3.747331e-17 1.202790e-17
3567.060000 4.262101e-17 1.174369e-17
3574.060000 5.884385e-17 1.153590e-17
3581.060000 8.664593e-17 1.147091e-17
3588.060000 7.831561e-17 1.106190e-17
3595.060000 8.755228e-17 1.086833e-17
3602.060000 1.136541e-16 1.078819e-17
3609.060000 8.818739e-17 1.052874e-17
3616.060000 7.499126e-17 1.050717e-17
3623.060000 9.473408e-17 1.075195e-17
3630.060000 1.074274e-16 1.123306e-17
3637.060000 9.471550e-17 1.115838e-17
3644.060000 9.438039e-17 1.108751e-17
3651.060000 8.594825e-17 1.102290e-17
3658.060000 1.010344e-16 1.097123e-17
3665.060000 1.055241e-16 1.069137e-17
3672.060000 7.492805e-17 1.009868e-17
3679.060000 8.666444e-17 9.740871e-18
3686.060000 9.977887e-17 9.570980e-18
3693.060000 9.369147e-17 9.356137e-18
3700.060000 9.544376e-17 9.264294e-18
3707.060000 1.031658e-16 9.146530e-18
3714.060000 8.663709e-17 9.085129e-18
3721.060000 8.173156e-17 8.942077e-18
3728.060000 1.038449e-16 9.158149e-18
3735.060000 9.386246e-17 9.126230e-18
3742.060000 9.887173e-17 9.176295e-18
3749.060000 9.233542e-17 9.078376e-18
3756.060000 9.068030e-17 9.096292e-18
3763.060000 1.058941e-16 9.101365e-18
3770.060000 9.766486e-17 9.289450e-18
3777.060000 9.949232e-17 9.276193e-18
3784.060000 9.004561e-17 8.967984e-18
3791.060000 7.980090e-17 8.526490e-18
3798.060000 9.293645e-17 8.329045e-18
3805.060000 7.891178e-17 8.092417e-18
3812.060000 9.238198e-17 8.025993e-18
3819.060000 7.960005e-17 7.955336e-18
3826.060000 7.438073e-17 7.877529e-18
3833.060000 7.497703e-17 7.897897e-18
3840.060000 7.260446e-17 7.799681e-18
3847.060000 8.347622e-17 7.857430e-18
3854.060000 7.021986e-17 7.706766e-18
3861.060000 8.289391e-17 7.758107e-18
3868.060000 7.110751e-17 7.642712e-18
3875.060000 7.834316e-17 7.633789e-18
3882.060000 7.043231e-17 7.794391e-18
3889.060000 8.342897e-17 8.027119e-18
3896.060000 8.553282e-17 7.957131e-18
3903.060000 8.969960e-17 7.832759e-18
3910.060000 8.344384e-17 7.605482e-18
3917.060000 9.778449e-17 7.517045e-18
3924.060000 8.117502e-17 7.243056e-18
3931.060000 9.428521e-17 7.321073e-18
3938.060000 8.479564e-17 7.241439e-18
3945.060000 1.113827e-16 7.412445e-18
3952.060000 9.501289e-17 7.193784e-18
3959.060000 9.548695e-17 7.132866e-18
3966.060000 9.061123e-17 7.112598e-18
3973.060000 8.871216e-17 7.353251e-18
3980.060000 9.551593e-17 7.638778e-18
3987.060000 9.079466e-17 7.677890e-18
3994.060000 9.931224e-17 7.833154e-18
4001.060000 9.501869e-17 7.812005e-18
4008.060000 1.056614e-16 7.658076e-18
4015.060000 9.237992e-17 7.472726e-18
4022.060000 9.659319e-17 7.288876e-18
4029.060000 9.977028e-17 7.129754e-18
4036.060000 1.025232e-16 6.910452e-18
4043.060000 1.043113e-16 6.833206e-18
4050.060000 9.439843e-17 6.619244e-18
4057.060000 9.626761e-17 6.556500e-18
4064.060000 9.649495e-17 6.642340e-18
4071.060000 1.129802e-16 6.803252e-18
4078.060000 1.046764e-16 6.773669e-18
4085.060000 1.136570e-16 6.958017e-18
4092.060000 1.165022e-16 7.071359e-18
4099.060000 1.182272e-16 7.119349e-18
4106.060000 1.185539e-16 7.195677e-18
4113.060000 1.116381e-16 7.124521e-18
4120.060000 1.284646e-16 7.186779e-18
4127.060000 1.124090e-16 7.068075e-18
4134.060000 1.127176e-16 7.018375e-18
4141.060000 1.178681e-16 6.943451e-18
4148.060000 1.208805e-16 6.745958e-18
4155.060000 1.111237e-16 6.552785e-18
4162.060000 1.181377e-16 6.457340e-18
4169.060000 1.264885e-16 6.430027e-18
4176.060000 1.178619e-16 6.306294e-18
4183.060000 1.237593e-16 6.226737e-18
4190.060000 1.214491e-16 6.225366e-18
4197.060000 1.165505e-16 6.184360e-18
4204.060000 1.250853e-16 6.257854e-18
4211.060000 1.218311e-16 6.240587e-18
4218.060000 1.110849e-16 6.238712e-18
4225.060000 1.239948e-16 6.388898e-18
4232.060000 1.109724e-16 6.373178e-18
4239.060000 1.158348e-16 6.419124e-18
4246.060000 1.186645e-16 6.553988e-18
4253.060000 1.167526e-16 6.571062e-18
4260.060000 1.034705e-16 6.360004e-18
4267.060000 1.084213e-16 6.210746e-18
4274.060000 1.113380e-16 6.079139e-18
4281.060000 1.144891e-16 6.059537e-18
4288.060000 9.873227e-17 5.855408e-18
4295.060000 9.961677e-17 5.783916e-18
4302.060000 1.160113e-16 5.803715e-18
4309.060000 1.047868e-16 5.799652e-18
4316.060000 9.863300e-17 5.728581e-18
4323.060000 1.016713e-16 5.758157e-18
4330.060000 9.986874e-17 5.800520e-18
4337.060000 9.337377e-17 5.830122e-18
4344.060000 9.524764e-17 5.920461e-18
4351.060000 9.153142e-17 5.980360e-18
4358.060000 9.193523e-17 6.029417e-18
4365.060000 8.948123e-17 6.123011e-18
4372.060000 8.524215e-17 6.133362e-18
4379.060000 6.991045e-17 5.967339e-18
4386.060000 6.298177e-17 5.718480e-18
4393.060000 6.190458e-17 5.632974e-18
4400.060000 5.836949e-17 5.537433e-18
4407.060000 6.635420e-17 5.552663e-18
4414.060000 6.233070e-17 5.418662e-18
4421.060000 5.890708e-17 5.363438e-18
4428.060000 5.527760e-17 5.319389e-18
4435.060000 5.601818e-17 5.306857e-18
4442.060000 5.510535e-17 5.300159e-18
4449.060000 6.154361e-17 5.342552e-18
4456.060000 5.186724e-17 5.294873e-18
4463.060000 5.124422e-17 5.334599e-18
4470.060000 6.081755e-17 5.441141e-18
4477.060000 6.102718e-17 5.510774e-18
4484.060000 6.373528e-17 5.619903e-18
4491.060000 6.052012e-17 5.688885e-18
4498.060000 6.089701e-17 5.690582e-18
4505.060000 6.743314e-17 5.589524e-18
4512.060000 8.140641e-17 5.589028e-18
4519.060000 9.041045e-17 5.619948e-18
4526.060000 7.892920e-17 5.440214e-18
4533.060000 8.064499e-17 5.400350e-18
4540.060000 8.460315e-17 5.415178e-18
4547.060000 9.641870e-17 5.438543e-18
4554.060000 8.703100e-17 5.365306e-18
4561.060000 7.960758e-17 5.291562e-18
4568.060000 8.846308e-17 5.426077e-18
4575.060000 7.318638e-17 5.425815e-18
4582.060000 8.000735e-17 5.517534e-18
4589.060000 8.448949e-17 5.569477e-18
4596.060000 8.423581e-17 5.656949e-18
4603.060000 6.998006e-17 5.665265e-18
4610.060000 7.836913e-17 5.825890e-18
4617.060000 7.994376e-17 5.741369e-18
4624.060000 7.928064e-17 5.617134e-18
4631.060000 8.468538e-17 5.524722e-18
4638.060000 7.401431e-17 5.306759e-18
4645.060000 7.348814e-17 5.221475e-18
4652.060000 7.613096e-17 5.194921e-18
4659.060000 7.765913e-17 5.166606e-18
4666.060000 8.914693e-17 5.213195e-18
4673.060000 8.805002e-17 5.211232e-18
4680.060000 8.132166e-17 5.223914e-18
4687.060000 7.086917e-17 5.226234e-18
4694.060000 7.041849e-17 5.292252e-18
4701.060000 8.024700e-17 5.410057e-18
4708.060000 8.312586e-17 5.495541e-18
4715.060000 7.145829e-17 5.487744e-18
4722.060000 6.593372e-17 5.535336e-18
4729.060000 7.773413e-17 5.687618e-18
4736.060000 6.759560e-17 5.559568e-18
4743.060000 7.095264e-17 5.498152e-18
4750.060000 7.283971e-17 5.491247e-18
4757.060000 9.961567e-17 5.603860e-18
4764.060000 8.238280e-17 5.408274e-18
4771.060000 8.074059e-17 5.435199e-18
4778.060000 8.835470e-17 5.413676e-18
4785.060000 9.143133e-17 5.350566e-18
4792.060000 9.439330e-17 5.419771e-18
4799.060000 8.828680e-17 5.349380e-18
4806.060000 8.298793e-17 5.350444e-18
4813.060000 9.640245e-17 5.465768e-18
4820.060000 9.653691e-17 5.605005e-18
4827.060000 8.697551e-17 5.535082e-18
4834.060000 7.486451e-17 5.592384e-18
4841.060000 8.348168e-17 5.762874e-18
4848.060000 7.429223e-17 5.742234e-18
4855.060000 7.824556e-17 5.771630e-18
4862.060000 7.111979e-17 5.699100e-18
4869.060000 7.455902e-17 5.665642e-18
4876.060000 6.792158e-17 5.619821e-18
4883.060000 6.444476e-17 5.587449e-18
4890.060000 7.747966e-17 5.684465e-18
4897.060000 7.499775e-17 6.843033e-18
4904.060000 7.072965e-17 1.061975e-17
4911.060000 7.072965e-17 1.061975e-17
4918.060000 7.072965e-17 1.061975e-17
4925.060000 7.072965e-17 1.061975e-17
4932.060000 7.072965e-17 1.061975e-17
4939.060000 7.072965e-17 1.061975e-17
4946.060000 7.072965e-17 1.061975e-17
4953.060000 7.072965e-17 1.061975e-17
4960.060000 7.072965e-17 1.061975e-17
4967.060000 7.072965e-17 1.061975e-17
4974.060000 7.072965e-17 1.061975e-17
4981.060000 7.072965e-17 1.061975e-17
4988.060000 7.072965e-17 1.061975e-17
4995.060000 7.072965e-17 1.061975e-17
5002.060000 7.072965e-17 1.061975e-17
5009.060000 7.072965e-17 1.061975e-17
5016.060000 7.072965e-17 1.061975e-17
5023.060000 7.072965e-17 1.061975e-17
5030.060000 7.072965e-17 1.061975e-17
5037.060000 7.072965e-17 1.061975e-17
5044.060000 7.072965e-17 1.061975e-17
5051.060000 4.161576e-17 1.056446e-17
5058.060000 3.127230e-17 1.381170e-17
5065.060000 3.127230e-17 1.381170e-17
5072.060000 3.127230e-17 1.381170e-17
5079.060000 3.127230e-17 1.381170e-17
5086.060000 3.127230e-17 1.381170e-17
5093.060000 3.127230e-17 1.381170e-17
5100.060000 3.127230e-17 1.381170e-17
5107.060000 3.127230e-17 1.381170e-17
5114.060000 3.127230e-17 1.381170e-17
