#OBJECT = AT2020zlp
#MJD-OBS = 59167.503692
#DATE-OBS = 2020-11-14T12:05:19
#EXPTIME = 1820.000000
#AIRMASS = 1.536000
# 
#TELESCOPE = UH88
#INSTRUMENT = SNIFS
#FLUXCAL = RELATIVE
#WL FL ERR
#[Ang] [erg/s/cm2/A] [erg/s/cm2/A]
3308.060000 2.785388e-18 3.793721e-17
3315.060000 3.936511e-17 3.549562e-17
3322.060000 4.699697e-17 3.428269e-17
3329.060000 3.429055e-17 3.299660e-17
3336.060000 2.403636e-17 3.194438e-17
3343.060000 5.882345e-17 3.067067e-17
3350.060000 2.301244e-17 2.888025e-17
3357.060000 2.677878e-17 2.787526e-17
3364.060000 2.577883e-18 2.693745e-17
3371.060000 6.777058e-17 2.753134e-17
3378.060000 3.795763e-17 2.657587e-17
3385.060000 7.032361e-17 2.609775e-17
3392.060000 6.583243e-17 2.541784e-17
3399.060000 6.406946e-17 2.584827e-17
3406.060000 6.089831e-17 2.524893e-17
3413.060000 4.175287e-17 2.451018e-17
3420.060000 8.581502e-17 2.448570e-17
3427.060000 4.876307e-17 2.332379e-17
3434.060000 1.057088e-16 2.241761e-17
3441.060000 9.723590e-17 2.158364e-17
3448.060000 4.749530e-17 2.052860e-17
3455.060000 7.579317e-17 2.009461e-17
3462.060000 7.565843e-17 1.939237e-17
3469.060000 9.199066e-17 1.899656e-17
3476.060000 1.196998e-16 1.882898e-17
3483.060000 9.257490e-17 1.849984e-17
3490.060000 1.157186e-16 1.816029e-17
3497.060000 1.221877e-16 1.756719e-17
3504.060000 1.034591e-16 1.729092e-17
3511.060000 1.318586e-16 1.727321e-17
3518.060000 1.262536e-16 1.722208e-17
3525.060000 1.304902e-16 1.748057e-17
3532.060000 1.209197e-16 1.752106e-17
3539.060000 1.066999e-16 1.769662e-17
3546.060000 1.342149e-16 1.769860e-17
3553.060000 1.170541e-16 1.693548e-17
3560.060000 1.283544e-16 1.633879e-17
3567.060000 1.298086e-16 1.575050e-17
3574.060000 1.288995e-16 1.524407e-17
3581.060000 1.159829e-16 1.483959e-17
3588.060000 1.161220e-16 1.437941e-17
3595.060000 1.288748e-16 1.416426e-17
3602.060000 1.308907e-16 1.386368e-17
3609.060000 1.233856e-16 1.368520e-17
3616.060000 1.365005e-16 1.384893e-17
3623.060000 1.328036e-16 1.393678e-17
3630.060000 1.221484e-16 1.425864e-17
3637.060000 1.379499e-16 1.442781e-17
3644.060000 1.383689e-16 1.422859e-17
3651.060000 1.499166e-16 1.430245e-17
3658.060000 1.593585e-16 1.425959e-17
3665.060000 1.763749e-16 1.396699e-17
3672.060000 1.654825e-16 1.345463e-17
3679.060000 1.472418e-16 1.282238e-17
3686.060000 1.495297e-16 1.242316e-17
3693.060000 1.611656e-16 1.234039e-17
3700.060000 1.660247e-16 1.216655e-17
3707.060000 1.602161e-16 1.196675e-17
3714.060000 1.565430e-16 1.197045e-17
3721.060000 1.458739e-16 1.163337e-17
3728.060000 1.992234e-16 1.188314e-17
3735.060000 1.867356e-16 1.191252e-17
3742.060000 1.801542e-16 1.198505e-17
3749.060000 1.794266e-16 1.190571e-17
3756.060000 1.809170e-16 1.188374e-17
3763.060000 1.790172e-16 1.189538e-17
3770.060000 1.572144e-16 1.192646e-17
3777.060000 1.678120e-16 1.195329e-17
3784.060000 1.624157e-16 1.164436e-17
3791.060000 1.748868e-16 1.124171e-17
3798.060000 1.596608e-16 1.084565e-17
3805.060000 1.619895e-16 1.064473e-17
3812.060000 1.827429e-16 1.054381e-17
3819.060000 1.966786e-16 1.065290e-17
3826.060000 1.798522e-16 1.055319e-17
3833.060000 1.539412e-16 1.039302e-17
3840.060000 1.723901e-16 1.048893e-17
3847.060000 1.398597e-16 1.023787e-17
3854.060000 1.060668e-16 1.000950e-17
3861.060000 8.084265e-17 9.782304e-18
3868.060000 8.088130e-17 9.632409e-18
3875.060000 5.170098e-17 9.301490e-18
3882.060000 6.202172e-17 9.554732e-18
3889.060000 5.542997e-17 9.675784e-18
3896.060000 3.953059e-17 9.465491e-18
3903.060000 5.705906e-17 9.262675e-18
3910.060000 6.239318e-17 9.139324e-18
3917.060000 5.231528e-17 8.921288e-18
3924.060000 6.441136e-17 8.853403e-18
3931.060000 5.499554e-17 8.742198e-18
3938.060000 5.389885e-17 8.724125e-18
3945.060000 6.787025e-17 8.747404e-18
3952.060000 6.145709e-17 8.750273e-18
3959.060000 8.019243e-17 8.947241e-18
3966.060000 8.252948e-17 9.147850e-18
3973.060000 7.184497e-17 9.330132e-18
3980.060000 8.294531e-17 9.408827e-18
3987.060000 9.127409e-17 9.174036e-18
3994.060000 9.674087e-17 9.036772e-18
4001.060000 1.076235e-16 9.016015e-18
4008.060000 1.361680e-16 9.142330e-18
4015.060000 1.239041e-16 9.078338e-18
4022.060000 1.651189e-16 9.157078e-18
4029.060000 1.977073e-16 9.217159e-18
4036.060000 1.868822e-16 8.982978e-18
4043.060000 2.109447e-16 8.976536e-18
4050.060000 2.184350e-16 8.850398e-18
4057.060000 2.405839e-16 8.895791e-18
4064.060000 2.584519e-16 9.162989e-18
4071.060000 2.702383e-16 9.341825e-18
4078.060000 2.580761e-16 9.352890e-18
4085.060000 2.605087e-16 9.479090e-18
4092.060000 2.400619e-16 9.283839e-18
4099.060000 2.525354e-16 9.308871e-18
4106.060000 2.736632e-16 9.272396e-18
4113.060000 2.656813e-16 9.242564e-18
4120.060000 2.625646e-16 9.344378e-18
4127.060000 2.632077e-16 9.409233e-18
4134.060000 2.405529e-16 9.269323e-18
4141.060000 2.179435e-16 8.872121e-18
4148.060000 2.084425e-16 8.558169e-18
4155.060000 1.876643e-16 8.343901e-18
4162.060000 1.754863e-16 8.194266e-18
4169.060000 1.787800e-16 8.098980e-18
4176.060000 1.626157e-16 7.978936e-18
4183.060000 1.640621e-16 7.842716e-18
4190.060000 1.643878e-16 7.813938e-18
4197.060000 1.868773e-16 7.956025e-18
4204.060000 1.799023e-16 7.908813e-18
4211.060000 1.959837e-16 7.976020e-18
4218.060000 2.086651e-16 8.159681e-18
4225.060000 2.308979e-16 8.346420e-18
4232.060000 2.393954e-16 8.512870e-18
4239.060000 2.687494e-16 8.754171e-18
4246.060000 2.551688e-16 8.778058e-18
4253.060000 2.637933e-16 8.833076e-18
4260.060000 2.594283e-16 8.671450e-18
4267.060000 2.729219e-16 8.536237e-18
4274.060000 2.743802e-16 8.357552e-18
4281.060000 2.620045e-16 8.158109e-18
4288.060000 2.672544e-16 8.080755e-18
4295.060000 2.676356e-16 7.964884e-18
4302.060000 2.613869e-16 7.881691e-18
4309.060000 2.581671e-16 7.956622e-18
4316.060000 2.419777e-16 7.830394e-18
4323.060000 2.222859e-16 7.671048e-18
4330.060000 2.308619e-16 7.803922e-18
4337.060000 2.388889e-16 7.910047e-18
4344.060000 2.393967e-16 8.065530e-18
4351.060000 2.377470e-16 8.171124e-18
4358.060000 2.211626e-16 8.182468e-18
4365.060000 2.408630e-16 8.352654e-18
4372.060000 2.203236e-16 8.302445e-18
4379.060000 2.129402e-16 8.172430e-18
4386.060000 2.095363e-16 7.962095e-18
4393.060000 1.920894e-16 7.707648e-18
4400.060000 2.098669e-16 7.668447e-18
4407.060000 1.999914e-16 7.559103e-18
4414.060000 1.907411e-16 7.398703e-18
4421.060000 1.801404e-16 7.346757e-18
4428.060000 1.767554e-16 7.254321e-18
4435.060000 1.705320e-16 7.221897e-18
4442.060000 1.668841e-16 7.178971e-18
4449.060000 1.710811e-16 7.214053e-18
4456.060000 1.610253e-16 7.183496e-18
4463.060000 1.554265e-16 7.196778e-18
4470.060000 1.307070e-16 7.122452e-18
4477.060000 1.349085e-16 7.244463e-18
4484.060000 1.269724e-16 7.273268e-18
